	sample1	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ASV_1102	30	1	0	31	47	123	40	73	120	133	17	40	129	72	377	43	17	2
ASV_691	5	179	425	116	7	1	11	18	5	15	26	77	91	92	34	0	14	0
ASV_580	94	51	33	78	79	84	141	102	106	85	137	51	149	108	74	83	76	48
ASV_576	25	27	34	22	96	102	200	106	187	115	59	68	219	215	350	75	49	31
ASV_1726	13	2	9	1	18	33	42	31	74	53	12	16	57	23	322	37	4	23
ASV_609	37	73	102	105	67	67	91	75	77	67	39	58	279	152	105	4	107	29
ASV_2709	4	0	0	3	134	42	100	59	55	72	0	60	161	280	2	0	9	0
ASV_468	68	48	95	29	95	115	114	72	83	83	72	101	124	108	97	35	47	9
ASV_2011	4	2	2	11	36	84	27	65	101	54	7	23	92	110	42	6	0	0
ASV_930	133	60	49	27	54	36	54	51	73	40	130	100	262	201	262	64	34	1
ASV_1295	7	6	0	10	120	194	36	239	80	179	388	4	49	39	3	0	8	37
ASV_1722	9	617	399	134	0	6	1	5	0	7	15	0	0	7	10	43	22	0
ASV_1426	47	105	462	31	15	35	45	17	31	15	35	3	60	36	104	0	11	1
ASV_799	115	1	11	6	83	48	65	57	79	78	17	260	91	174	142	4	5	5
ASV_1280	7	11	32	10	18	69	12	51	87	69	0	76	109	99	16	10	10	0
ASV_725	591	0	0	364	187	9	119	43	13	112	201	0	0	3	635	644	282	1
ASV_1776	10	3	26	10	60	36	49	32	14	61	0	93	89	180	38	0	0	0
ASV_451	966	1	1	1	309	41	290	83	94	196	723	66	78	98	447	0	4	0
ASV_857	23	53	41	73	58	58	28	23	66	47	0	48	15	53	2	64	128	53
ASV_278	118	79	39	197	110	25	63	47	26	56	0	16	14	24	1124	589	553	73
ASV_1835	446	0	0	0	42	4	40	5	16	52	533	0	1	3	217	0	6	0
