"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"68",0.4,0.288940217391304,0.0229152345316384,0.00229152345316384,"unweighted","OE"
"69",0.45,0.250108695652174,0.0248060347024625,0.00248060347024625,"unweighted","OE"
"70",0.5,0.213804347826087,0.017945841734767,0.0017945841734767,"unweighted","OE"
"71",0.55,0.180978260869565,0.0197885619906092,0.00197885619906092,"unweighted","OE"
"72",0.6,0.145923913043478,0.0197866772759051,0.00197866772759051,"unweighted","OE"
"73",0.65,0.114972826086957,0.0183031132911698,0.00183031132911698,"unweighted","OE"
"74",0.7,0.0894021739130435,0.0173611707814369,0.00173611707814369,"unweighted","OE"
"75",0.75,0.0649728260869565,0.0143847621399838,0.00143847621399838,"unweighted","OE"
"76",0.8,0.0452445652173913,0.0118251392929191,0.00118251392929191,"unweighted","OE"
"77",0.85,0.0254891304347826,0.0117390745212481,0.00117390745212481,"unweighted","OE"
"78",0.9,0.013125,0.0067789700152419,0.000677897001524191,"unweighted","OE"
"79",0.95,0.00385869565217391,0.00437280101830393,0.000437280101830393,"unweighted","OE"
"80",1,0,0,0,"unweighted","OE"
"81",0.05,0.585668449197861,0.011124895441094,0.0011124895441094,"weighted","WT"
"82",0.1,0.542192513368984,0.0157363742304132,0.00157363742304132,"weighted","WT"
"83",0.15,0.49475935828877,0.0184108967018135,0.00184108967018135,"weighted","WT"
"84",0.2,0.449679144385027,0.0179761082268147,0.00179761082268147,"weighted","WT"
"85",0.25,0.409385026737968,0.0190659455032915,0.00190659455032915,"weighted","WT"
"86",0.3,0.367754010695187,0.0196645516927686,0.00196645516927686,"weighted","WT"
"87",0.35,0.328609625668449,0.0204991087344028,0.00204991087344028,"weighted","WT"
"88",0.4,0.288422459893048,0.0200508829955474,0.00200508829955474,"weighted","WT"
"89",0.45,0.250561497326203,0.0201967191770256,0.00201967191770256,"weighted","WT"
"90",0.5,0.213529411764706,0.0184230519830559,0.00184230519830559,"weighted","WT"
"91",0.55,0.179946524064171,0.0203186522073558,0.00203186522073558,"weighted","WT"
"92",0.6,0.147139037433155,0.0168826031637148,0.00168826031637148,"weighted","WT"
"93",0.65,0.114732620320856,0.0164740419219826,0.00164740419219826,"weighted","WT"
"94",0.7,0.0905347593582888,0.0168250378458032,0.00168250378458032,"weighted","WT"
"95",0.75,0.0628342245989305,0.0132985776377199,0.00132985776377199,"weighted","WT"
"96",0.8,0.043475935828877,0.0132720517714071,0.00132720517714071,"weighted","WT"
"97",0.85,0.023716577540107,0.00979032217761356,0.000979032217761356,"weighted","WT"
"98",0.9,0.0120855614973262,0.00551354871160011,0.000551354871160011,"weighted","WT"
"99",0.95,0.00296791443850267,0.00354260875927451,0.000354260875927451,"weighted","WT"
"100",1,0,0,0,"weighted","WT"
"101",0.05,0.520454545454546,0.0134544612527193,0.00134544612527193,"unweighted","WT"
"102",0.1,0.479438502673797,0.0152379880579082,0.00152379880579082,"unweighted","WT"
"103",0.15,0.441497326203209,0.0200495323730073,0.00200495323730073,"unweighted","WT"
"104",0.2,0.406363636363636,0.0214274108144652,0.00214274108144652,"unweighted","WT"
"105",0.25,0.36716577540107,0.0203484135676247,0.00203484135676247,"unweighted","WT"
"106",0.3,0.33120320855615,0.0245312438452765,0.00245312438452765,"unweighted","WT"
"107",0.35,0.292379679144385,0.0225710422969576,0.00225710422969576,"unweighted","WT"
"108",0.4,0.260133689839572,0.0255058153545918,0.00255058153545918,"unweighted","WT"
"109",0.45,0.22927807486631,0.0224072782592992,0.00224072782592992,"unweighted","WT"
"110",0.5,0.194224598930481,0.0228892048588595,0.00228892048588595,"unweighted","WT"
"111",0.55,0.165320855614973,0.0216155670300302,0.00216155670300302,"unweighted","WT"
"112",0.6,0.135828877005348,0.0191909241327613,0.00191909241327613,"unweighted","WT"
"113",0.65,0.110106951871658,0.0190715692488306,0.00190715692488306,"unweighted","WT"
"114",0.7,0.0833155080213904,0.0143597645809498,0.00143597645809498,"unweighted","WT"
"115",0.75,0.0622459893048128,0.014674937856808,0.0014674937856808,"unweighted","WT"
"116",0.8,0.0419786096256684,0.0130463970557616,0.00130463970557616,"unweighted","WT"
"117",0.85,0.0251604278074866,0.00947881732633202,0.000947881732633202,"unweighted","WT"
"118",0.9,0.0105080213903743,0.00653016911847741,0.000653016911847741,"unweighted","WT"
"119",0.95,0.00275401069518717,0.00353362823060317,0.000353362823060317,"unweighted","WT"
"120",1,0,0,0,"unweighted","WT"
