"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"90",8,0.529387755102041,0.00710964981683106,0.000710964981683106,"weighted","Group3"
"91",9,0.527040816326531,0.0066463157885605,0.00066463157885605,"weighted","Group3"
"92",10,0.525025510204082,0.00738372873409642,0.000738372873409642,"weighted","Group3"
"93",11,0.524107142857143,0.00772891529389748,0.000772891529389748,"weighted","Group3"
"94",12,0.521989795918367,0.00689657733783745,0.000689657733783745,"weighted","Group3"
"95",13,0.521505102040816,0.00620917708857551,0.000620917708857551,"weighted","Group3"
"96",14,0.520459183673469,0.00569825954510143,0.000569825954510143,"weighted","Group3"
"97",15,0.519234693877551,0.00563375499724055,0.000563375499724055,"weighted","Group3"
"98",16,0.517551020408163,0.00507983210077273,0.000507983210077273,"weighted","Group3"
"99",17,0.516275510204082,0.00433256435471327,0.000433256435471327,"weighted","Group3"
"100",18,0.514821428571429,0.00360212607562131,0.000360212607562131,"weighted","Group3"
"101",19,0.512040816326531,0.00328495940809385,0.000328495940809385,"weighted","Group3"
"102",20,0.510204081632653,0,0,"weighted","Group3"
"103",1,0.531709183673469,0.00816628442160373,0.000816628442160373,"unweighted","Group3"
"104",2,0.531122448979592,0.00858035678757674,0.000858035678757674,"unweighted","Group3"
"105",3,0.528341836734694,0.00972174141018534,0.000972174141018534,"unweighted","Group3"
"106",4,0.525382653061224,0.00960254772648328,0.000960254772648328,"unweighted","Group3"
"107",5,0.525510204081633,0.00969536926104709,0.000969536926104709,"unweighted","Group3"
"108",6,0.522780612244898,0.00951231056630586,0.000951231056630586,"unweighted","Group3"
"109",7,0.522423469387755,0.00909574914067964,0.000909574914067964,"unweighted","Group3"
"110",8,0.521683673469388,0.0089808742829651,0.00089808742829651,"unweighted","Group3"
"111",9,0.518775510204082,0.00936792650172496,0.000936792650172496,"unweighted","Group3"
"112",10,0.519234693877551,0.00824770158944579,0.000824770158944579,"unweighted","Group3"
"113",11,0.516352040816326,0.00802696685005828,0.000802696685005828,"unweighted","Group3"
"114",12,0.516224489795918,0.00773864738731555,0.000773864738731555,"unweighted","Group3"
"115",13,0.514489795918367,0.00692606181223444,0.000692606181223444,"unweighted","Group3"
"116",14,0.512959183673469,0.00641152566633342,0.000641152566633342,"unweighted","Group3"
"117",15,0.512780612244898,0.005885691880837,0.0005885691880837,"unweighted","Group3"
"118",16,0.510841836734694,0.00480170168893761,0.000480170168893761,"unweighted","Group3"
"119",17,0.511020408163265,0.00471194750778828,0.000471194750778828,"unweighted","Group3"
"120",18,0.50875,0.00375508789646267,0.000375508789646267,"unweighted","Group3"
"121",19,0.507091836734694,0.00337380613987355,0.000337380613987355,"unweighted","Group3"
"122",20,0.505102040816326,0,0,"unweighted","Group3"
