Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae	7	1	0	3	0	5	14	4	5	4	7	3	1	2	9	2	6	13
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae	5	13	3	6	6	1	9	1	5	5	6	8	5	6	2	4	5	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae	41	110	52	94	19	32	82	62	65	85	71	54	138	137	102	99	109	69
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae	120	182	147	142	88	100	125	146	133	128	153	123	142	108	159	143	157	184
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	13	17	13	8	5	11	14	38	18	20	31	23	16	10	17	28	15	21
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae	33	42	15	29	12	55	31	21	18	16	60	41	26	30	29	23	15	22
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae	562	886	595	535	313	540	578	770	800	565	658	561	661	547	640	563	668	698
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae	54	62	57	29	15	23	43	34	30	34	26	33	37	20	58	34	34	22
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae	10	13	25	1	10	5	6	12	6	13	12	7	20	4	23	13	4	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae	47	121	75	44	38	48	77	72	63	55	82	73	76	111	68	104	141	74
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae	224	358	433	303	299	330	196	354	233	205	319	223	228	185	294	271	255	266
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	6	3	0	3	0	4	6	2	2	2	0	1	1	2	3	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Unassigned	0	0	0	0	0	1	4	4	4	8	2	2	6	1	3	5	1	0
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae	674	1399	1152	1194	728	698	722	763	585	706	842	672	1175	791	941	1011	1194	1056
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae	3	2	1	2	0	1	3	2	0	2	1	2	2	1	3	1	4	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae	362	366	438	300	164	239	291	415	984	574	375	359	535	464	409	796	577	424
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae	10	49	27	45	5	16	30	35	18	17	36	7	15	34	26	8	45	39
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae	107	115	27	174	46	75	63	110	44	89	96	70	140	149	78	115	165	85
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Unassigned	3	3	1	4	2	3	7	12	7	7	8	4	6	3	4	5	4	9
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	56	111	118	66	44	66	48	63	67	76	64	73	116	79	74	75	69	73
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	4	3	3	0	0	1	15	7	9	0	5	16	3	3	12	7	2	3
Bacteria|Actinobacteria|Coriobacteriia|Unassigned|Unassigned	3	3	3	1	0	3	3	7	4	0	2	3	2	1	2	2	0	1
Bacteria|Actinobacteria|Nitriliruptoria|Egibacterales|Egibacteraceae	7	5	5	1	1	7	6	16	5	6	8	12	2	9	7	10	3	5
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae	49	72	49	66	37	57	86	96	52	63	65	91	74	38	59	37	70	50
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae	33	38	14	19	26	48	54	37	34	28	37	56	21	17	26	19	31	33
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Parviterribacteraceae	4	10	3	5	7	8	8	11	8	11	9	9	16	9	7	16	9	6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Unassigned	26	25	9	18	15	28	46	26	17	18	32	40	18	19	19	15	19	15
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilales|Thermoleophilaceae	8	14	14	22	13	18	21	23	14	12	17	19	16	13	13	12	12	15
Bacteria|Actinobacteria|Thermoleophilia|Unassigned|Unassigned	9	18	13	11	6	10	14	22	9	30	16	12	17	16	16	11	16	13
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	14	28	7	16	2	33	15	34	23	10	16	19	23	10	28	14	11	17
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae	8	4	8	6	2	5	11	8	34	15	10	8	16	15	14	12	12	11
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	67	49	17	13	43	5	67	27	46	157	29	34	63	48	77	76	26	46
