Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae|Longivirga|aurantiaca	3	2	1	2	0	1	3	2	0	2	1	2	2	1	3	1	4	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptacidiphilus|griseoplanus	2	2	1	0	1	2	1	1	1	0	0	2	4	1	3	2	2	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|actinomycinicus	1	0	1	2	0	2	2	2	0	0	3	0	4	0	1	4	1	0
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|alfalfae	0	3	0	0	1	1	3	11	4	4	1	4	2	2	0	2	1	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|arcticus	3	3	3	0	0	0	6	4	5	9	3	4	4	4	8	7	2	3
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|asenjonii	1	1	3	1	0	0	0	4	2	0	1	0	5	0	4	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|bambusae	1	4	4	4	3	7	5	3	8	5	5	6	3	1	8	4	6	5
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|caldifontis	82	86	171	103	54	73	69	96	220	118	80	65	160	152	81	122	287	128
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|cinnabarigriseus	2	0	0	0	0	0	2	1	7	0	0	0	1	0	0	38	1	3
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|cyslabdanicus	20	15	12	8	6	5	5	12	93	59	13	15	34	10	20	28	7	11
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|gardneri	3	2	3	4	3	12	1	5	10	14	4	17	14	2	6	16	11	8
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|krungchingensis	2	2	3	0	6	1	3	5	2	4	2	0	1	4	6	5	0	7
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|niveus	19	10	2	4	5	6	10	12	22	16	17	13	14	5	35	18	20	13
