"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"924","OE2",0.0421839218994817,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"2102","OE2",0.0421839218994817,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Other"
"3455","OE2",0.0421839218994817,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"2170","OE5",0.0420231127119916,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Other"
"3162","OE5",0.0420231127119916,"OE","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Other"
"3769","OE5",0.0420231127119916,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"2172","KO2",0.04151100041511,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Other"
"3312","KO2",0.04151100041511,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"3812","KO2",0.04151100041511,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Other"
"2259","KO5",0.0410783055198973,"KO","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Other"
"933","WT3",0.0410138626855877,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"1493","WT3",0.0410138626855877,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1229","WT4",0.040630586705672,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Other"
"2471","WT4",0.040630586705672,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Other"
"3007","WT4",0.040630586705672,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"683","KO6",0.0405997942943756,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1419","KO6",0.0405997942943756,"KO","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Other"
"1789","KO6",0.0405997942943756,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2202","KO6",0.0405997942943756,"KO","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Other"
"3114","KO6",0.0405997942943756,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"920","OE6",0.0405628880776311,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"1269","OE6",0.0405628880776311,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Glycomycetaceae","Other"
"2476","OE6",0.0405628880776311,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Other"
"3453","OE6",0.0405628880776311,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"3746","OE6",0.0405628880776311,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Other"
"400","OE3",0.0404250404250404,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Other"
"634","OE3",0.0404250404250404,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Other"
"2091","OE3",0.0404250404250404,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Other"
"3100","OE3",0.0404250404250404,"OE","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"3310","OE3",0.0404250404250404,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"54","WT6",0.040326916872782,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Other"
"550","WT6",0.040326916872782,"WT","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Other"
"694","WT6",0.040326916872782,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3301","OE1",0.0400776890587909,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"1167","OE1",0.0400776890587909,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Other"
"3023","OE1",0.0400776890587909,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1794","WT5",0.0400170739515527,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2713","WT5",0.0400170739515527,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"2319","OE4",0.0394632991318074,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Other"
"3295","OE4",0.0394632991318074,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"3379","OE2",0.0391707846209473,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"1784","OE2",0.0391707846209473,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Other"
"2703","OE2",0.0391707846209473,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"3357","OE2",0.0391707846209473,"OE","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Other"
"1471","KO1",0.0391189215214251,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Other"
"3111","KO1",0.0391189215214251,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"3206","KO1",0.0391189215214251,"KO","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Other"
"284","WT2",0.0390757287623414,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"3344","WT2",0.0390757287623414,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Other"
