"","MeanDecreaseAccuracy"
"ASV_596",-0.00022222
"ASV_524",-0.00022222
"ASV_161",-0.00022222
"ASV_143",-0.00022222
"ASV_140",-0.00022222
"ASV_1610",-0.00025
"ASV_1233",-0.00025
"ASV_1170",-0.00025
"ASV_2604",-0.00025
"ASV_1063",-0.00025
"ASV_1292",-0.00025
"ASV_1260",-0.00025
"ASV_1358",-0.00025
"ASV_1064",-0.00025
"ASV_1104",-0.00025
"ASV_1486",-0.00025
"ASV_1221",-0.00025
"ASV_714",-0.00025
"ASV_685",-0.00025
"ASV_313",-0.00025
"ASV_275",-0.00025
"ASV_237",-0.00025
"ASV_178",-0.00025
"ASV_182",-0.00025
"ASV_10",-0.00025
"ASV_1515",-0.00028571
"ASV_1387",-0.00028571
"ASV_2109",-0.00028571
"ASV_1796",-0.00028571
"ASV_1188",-0.00028571
"ASV_1483",-0.00028571
"ASV_1345",-0.00028571
"ASV_1529",-0.00028571
"ASV_1020",-0.00028571
"ASV_950",-0.00028571
"ASV_943",-0.00028571
"ASV_1508",-0.00028571
"ASV_870",-0.00028571
"ASV_732",-0.00028571
"ASV_2295",-0.00028571
"ASV_871",-0.00028571
"ASV_733",-0.00028571
"ASV_674",-0.00028571
"ASV_392",-0.00028571
"ASV_422",-0.00028571
"ASV_370",-0.00028571
"ASV_290",-0.00028571
"ASV_148",-0.00028571
"ASV_126",-0.00028571
"ASV_85",-0.00028571
"ASV_68",-0.00028571
"ASV_668",-3e-04
"ASV_1704",-0.00033333
"ASV_1562",-0.00033333
"ASV_1690",-0.00033333
"ASV_2237",-0.00033333
"ASV_1386",-0.00033333
"ASV_1972",-0.00033333
"ASV_1455",-0.00033333
"ASV_1400",-0.00033333
"ASV_1261",-0.00033333
"ASV_1518",-0.00033333
"ASV_1200",-0.00033333
"ASV_2751",-0.00033333
"ASV_965",-0.00033333
"ASV_1307",-0.00033333
"ASV_1023",-0.00033333
"ASV_1207",-0.00033333
"ASV_1071",-0.00033333
"ASV_1184",-0.00033333
"ASV_1010",-0.00033333
"ASV_2443",-0.00033333
"ASV_1459",-0.00033333
"ASV_1007",-0.00033333
"ASV_1842",-0.00033333
"ASV_982",-0.00033333
"ASV_821",-0.00033333
"ASV_916",-0.00033333
"ASV_703",-0.00033333
"ASV_2517",-0.00033333
"ASV_559",-0.00033333
"ASV_2543",-0.00033333
"ASV_678",-0.00033333
"ASV_811",-0.00033333
"ASV_457",-0.00033333
"ASV_436",-0.00033333
"ASV_361",-0.00033333
"ASV_298",-0.00033333
"ASV_276",-0.00033333
"ASV_248",-0.00033333
"ASV_124",-0.00033333
"ASV_971",-0.00033333
"ASV_150",-0.00033333
"ASV_113",-0.00033333
"ASV_2569",-4e-04
"ASV_2755",-4e-04
"ASV_2101",-4e-04
"ASV_1658",-4e-04
"ASV_1556",-4e-04
"ASV_1237",-4e-04
"ASV_1137",-4e-04
"ASV_1115",-4e-04
"ASV_994",-4e-04
"ASV_851",-4e-04
"ASV_1461",-4e-04
"ASV_1083",-4e-04
"ASV_704",-4e-04
"ASV_549",-4e-04
"ASV_1116",-4e-04
"ASV_571",-4e-04
"ASV_607",-4e-04
"ASV_609",-4e-04
"ASV_499",-4e-04
"ASV_604",-4e-04
"ASV_542",-4e-04
"ASV_195",-4e-04
"ASV_122",-4e-04
"ASV_1652",-0.00044444
"ASV_1436",-0.00044444
"ASV_2438",-0.00044444
"ASV_966",-0.00045238
"ASV_1982",-0.00047857
"ASV_1777",-5e-04
"ASV_1552",-5e-04
"ASV_1376",-5e-04
"ASV_1100",-5e-04
"ASV_2099",-5e-04
"ASV_1740",-5e-04
"ASV_2538",-5e-04
"ASV_2301",-5e-04
"ASV_1574",-5e-04
"ASV_801",-5e-04
"ASV_633",-5e-04
"ASV_2411",-5e-04
"ASV_481",-5e-04
"ASV_287",-5e-04
"ASV_2234",-0.00051429
"ASV_696",-0.00051429
"ASV_1238",-0.00057143
"ASV_1075",-0.00057143
"ASV_766",-0.00057143
"ASV_802",-0.00057143
"ASV_177",-0.00057143
"ASV_822",-0.00061905
"ASV_1765",-0.00066667
"ASV_2097",-0.00066667
"ASV_1642",-0.00066667
"ASV_794",-0.00066667
"ASV_768",-0.00066667
"ASV_411",-0.00066667
"ASV_425",-0.00066667
"ASV_991",-0.00068571
"ASV_1383",-0.00075
"ASV_748",-0.00075
"ASV_1569",-0.00075
"ASV_886",-0.00077778
"ASV_118",-8e-04
"ASV_264",-0.00083333
"ASV_229",-0.00085714
"ASV_32",-0.00085714
"ASV_1391",-0.00088095
"ASV_1298",-0.00088889
"ASV_1146",-0.00091429
"ASV_1229",-0.001
"ASV_561",-0.001
"ASV_512",-0.001
"ASV_314",-0.001
"ASV_1332",-0.0011111
"ASV_955",-0.0017778
