"","id","Abundance","Group","Kingdom","Phylum","Class"
"21","WT5",0.00533560986020702,"WT","Bacteria","Acidobacteria","Other"
"112","WT5",0.00533560986020702,"WT","Bacteria","Acidobacteria","Other"
"208","WT5",0.00533560986020702,"WT","Bacteria","Armatimonadetes","Other"
"279","WT5",0.00533560986020702,"WT","Bacteria","Chloroflexi","Other"
"447","WT5",0.00533560986020702,"WT","Bacteria","Ignavibacteriae","Other"
"23","WT2",0.00521009716831219,"WT","Bacteria","Acidobacteria","Other"
"199","KO5",0.00513478818998716,"KO","Bacteria","Armatimonadetes","Other"
"96","KO3",0.0051346563631229,"KO","Bacteria","Acidobacteria","Other"
"206","KO3",0.0051346563631229,"KO","Bacteria","Armatimonadetes","Other"
"151","OE6",0.00312022215981778,"OE","Bacteria","Acidobacteria","Other"
"277","OE4",0.00303563839475442,"OE","Bacteria","Chloroflexi","Other"
"117","OE2",0.00301313727853441,"OE","Bacteria","Acidobacteria","Other"
"105","KO1",0.00300914780934039,"KO","Bacteria","Acidobacteria","Other"
"272","KO1",0.00300914780934039,"KO","Bacteria","Chloroflexi","Other"
"380","KO1",0.00300914780934039,"KO","Bacteria","Firmicutes","Other"
"625","KO1",0.00300914780934039,"KO","Bacteria","Verrucomicrobia","Other"
"155","OE5",0.0030016509079994,"OE","Bacteria","Acidobacteria","Other"
"204","OE5",0.0030016509079994,"OE","Bacteria","Armatimonadetes","Other"
"153","KO2",0.002767400027674,"KO","Bacteria","Acidobacteria","Other"
"477","WT3",0.00273425751237252,"WT","Bacteria","Proteobacteria","Other"
"24","WT4",0.00270870578037814,"WT","Bacteria","Acidobacteria","Other"
"58","WT4",0.00270870578037814,"WT","Bacteria","Acidobacteria","Other"
"387","WT4",0.00270870578037814,"WT","Bacteria","Firmicutes","Other"
"386","KO6",0.00270665295295837,"KO","Bacteria","Firmicutes","Other"
"33","WT6",0.00268846112485213,"WT","Bacteria","Acidobacteria","Other"
"158","WT6",0.00268846112485213,"WT","Bacteria","Acidobacteria","Other"
"126","WT1",0.00267386828524827,"WT","Bacteria","Acidobacteria","Other"
"445","WT1",0.00267386828524827,"WT","Bacteria","Ignavibacteriae","Other"
"66","WT5",0.00266780493010351,"WT","Bacteria","Acidobacteria","Other"
"391","WT5",0.00266780493010351,"WT","Bacteria","Firmicutes","Other"
"123","KO4",0.00262425864693224,"KO","Bacteria","Acidobacteria","Other"
"392","KO4",0.00262425864693224,"KO","Bacteria","Firmicutes","Other"
