"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family"
"604","WT3",0.544117244962131,"WT","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"608","KO4",0.543221539914974,"KO","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"1261","OE2",0.542364710136194,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"828","OE3",0.537075537075537,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1315","OE1",0.533341554397756,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"974","WT3",0.524977442375523,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"94","KO4",0.522227470739516,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1723","KO4",0.514354694798719,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"104","KO3",0.51346563631229,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"144","WT2",0.50016932815797,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"1524","KO1",0.499518536350506,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"1321","OE6",0.496115323411027,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"596","KO6",0.495317490391382,"KO","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"916","KO6",0.495317490391382,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"1530","WT1",0.49466563277093,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"607","OE1",0.490180966180596,"OE","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"319","WT2",0.489749133821346,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"989","KO2",0.48429500484295,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1714","WT6",0.470480696849124,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"103","WT4",0.468606100005417,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"606","OE3",0.467775467775468,"OE","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"605","WT5",0.464198057838011,"WT","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"707","KO2",0.462155804621558,"KO","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"96","WT1",0.459905345062702,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1364","OE5",0.459252588923908,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1286","OE1",0.456269075438542,"OE","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Other"
"811","KO1",0.448363023591719,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"106","KO5",0.44415917843389,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1525","WT2",0.437648162138224,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"988","KO3",0.436445790865446,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"609","WT6",0.435530702226046,"WT","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"1719","OE5",0.432237730751914,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1712","OE1",0.431605882171594,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"595","WT4",0.427975513299745,"WT","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"364","KO2",0.426179604261796,"KO","Bacteria","Firmicutes","Clostridia","Clostridiales","Other"
"324","WT4",0.425266807519367,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"917","KO5",0.423620025673941,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"756","OE1",0.422357184696489,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Other"
"602","WT2",0.422017870633287,"WT","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"713","KO4",0.419881383509159,"KO","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"1200","OE3",0.415800415800416,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"714","WT4",0.414431984397855,"WT","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"1518","KO6",0.414117901802631,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"986","KO1",0.412253249879634,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1283","OE3",0.404250404250404,"OE","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Other"
"1360","KO6",0.400584637037839,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"908","OE2",0.388694708930939,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"1716","WT5",0.386831714865009,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1724","WT3",0.385530309244525,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"611","OE4",0.385526076133811,"OE","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"747","WT6",0.384449940853855,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Other"
"1720","WT1",0.382363164790502,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"610","KO1",0.38216177178623,"KO","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"711","KO1",0.38216177178623,"KO","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"1196","KO1",0.37915262397689,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"597","KO3",0.374829914507972,"KO","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Other"
"308","WT3",0.374593279195035,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"712","WT3",0.374593279195035,"WT","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"541","KO6",0.373518107508255,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Other"
"1513","WT5",0.370824885284388,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"904","WT2",0.369916898950165,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"1325","OE5",0.363199759867927,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"979","OE2",0.361576473424129,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1722","OE4",0.358205330581021,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1316","OE3",0.355162855162855,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1324","KO1",0.355079441502167,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1718","WT2",0.354286607445229,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1363","KO2",0.354227203542272,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"320","WT1",0.352950613652771,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"1715","KO6",0.351864883884588,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"822","KO3",0.351723960873918,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1629","KO2",0.351459803514598,"KO","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"312","OE5",0.35119315623593,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"937","OE2",0.349523924309992,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1204","KO2",0.348692403486924,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"981","OE1",0.348367604895644,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1630","KO6",0.346451577978672,"KO","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"1361","OE6",0.346344659739773,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1523","KO3",0.341454648147673,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Other"
"1326","KO4",0.341153624101191,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1624","OE2",0.337471375195854,"OE","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"739","OE6",0.333863771100502,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Other"
"549","KO5",0.333761232349166,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Other"
"1190","WT3",0.330845158997074,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"914","KO2",0.329320603293206,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"977","OE6",0.327623326780867,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"92","WT5",0.325472201472628,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1284","WT3",0.325376643972329,"WT","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Other"
"753","WT3",0.325376643972329,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Other"
"1713","OE3",0.317625317625318,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1327","WT3",0.317173871435212,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1631","WT5",0.314800981752214,"WT","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"316","OE2",0.313366276967579,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
