"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"734","OE5",2.0231127119916,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"738","OE6",2.00942307092265,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"335","WT4",1.97193780811528,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"731","WT5",1.95550101376587,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"725","KO2",1.94548221945482,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"334","KO6",1.91901694364749,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"427","OE1",1.91139747818849,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"337","OE6",1.85653218509158,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"265","WT3",1.75539332294315,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"327","KO2",1.73792721737927,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"82","OE5",1.73195257391565,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"727","WT6",1.73136896440477,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"737","WT2",1.70630682262224,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"426","OE6",1.68804018846142,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"721","OE1",1.67401424299411,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"266","OE3",1.66897666897667,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"728","OE4",1.6513872867464,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"254","WT4",1.64418440868953,"WT","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"268","OE1",1.64318525141043,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"729","OE2",1.63613354224418,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"422","OE5",1.61188653759568,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"75","KO6",1.60233854815136,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"163","KO6",1.60233854815136,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"425","WT3",1.58586935717606,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"170","KO1",1.56475686085701,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"341","OE1",1.56302987329284,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"84","KO1",1.54369282619162,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"423","OE3",1.51882651882652,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"164","KO5",1.50192554557125,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"416","WT6",1.49747284654264,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"331","KO1",1.49554646124218,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"691","OE1",1.489040293492,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"179","OE5",1.45279903947171,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"732","WT3",1.44368796653269,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"415","KO1",1.42934520943669,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"78","KO3",1.39919385895099,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"80","KO2",1.383700013837,"KO","Bacteria","Firmicutes","Bacilli","Bacillales"
"169","OE1",1.37805592379073,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"430","OE4",1.36603727763949,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"635","OE1",1.36572432715726,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
"418","WT1",1.33158640605364,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"724","OE3",1.32247632247632,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales"
"173","KO2",1.31728241317282,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales"
"696","OE6",1.3167337514431,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"431","WT2",1.31554953499883,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
"260","OE5",1.29971484316374,"OE","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"429","WT4",1.29205265724037,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales"
