Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax|gossypii	1.39547864917667	1.24121170037323	1.66563371552526	1.71227396383421	2.37716708304944	1.8450184501845	1.14184923876717	2.16046445226992	2.55637724824249	1.50040920250978	2.41914045192734	1.2757793764988	1.72888353690005	1.42387732749179	1.99713415726312	1.62784656680232	2.31450534759358	2.38708569465911
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax|robiniae	0.446553167736534	0.32983247981946	0.20917260613573	0.23203712594015	0.469376939965175	0.55350553505535	0.352766431489046	0.256971542781003	0.337806993517758	0.418295898881513	0.381036774479397	0.517985611510791	0.301049372097024	0.269609908164125	0.438832169084721	0.640748116720062	0.609959893048128	0.309119010819165
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Duganella|ginsengisoli	0.818680807516978	0.251714260914851	0.348621010226216	0.312049927988478	0.719206601559543	0.536732640053673	0.139249907166729	0.085657180927001	0.283027481055419	0.181867782122397	0.124058484714222	0.0767386091127098	0.395664889041803	0.261184598533996	0.179115171054988	0.138540133344878	0.250668449197861	0.257599175682638
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Janthinobacterium|svalbardensis	0.893106335473067	0.520788126030727	0.526805082119616	0.904144663146103	0.94632447573624	1.26635357262664	0.167099888600074	0.161796897306558	0.438236099698713	0.227334727652996	0.425343376163048	0.460431654676259	0.430070531567177	0.446541410396832	0.331363066451728	0.476231708373019	0.53475935828877	0.412158681092221
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|arvi	0.0372127639780445	0.0260394063015363	0.00774713356058258	0.0480076812289966	0.0454235748353395	0.0838644750083864	0.0556999628666914	0.00951746454744456	0.0456495937186159	0.0454669455305993	0.0443066016836509	0	0	0.15165557334232	0.00895575855274942	0.0173175166681098	0.167112299465241	0.0171732783788425
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|eurypsychrophila	0.558191459670667	0.624945751236872	0.464828013634955	1.08817410785726	0.537512302218185	1.30828581013083	0.334199777200149	0.276006471875892	0.620834474573176	0.236428116759116	0.664599025254763	0.52757793764988	0.395664889041803	0.404414862246188	0.394053376320974	0.38964412503247	0.802139037433155	0.283359093250902
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|phosphatilytica	0.400037212763978	0.277753667216387	0.278896808180973	0.280044807169147	0.264970853206147	0.385776585038578	0.0556999628666914	0.0666222518321119	0.118688943668401	0.145494225697918	0.0620292423571112	0.0479616306954436	0.137622570101497	0.235908669643609	0.0985133440802436	0.112563858342714	0.0919117647058824	0.180319422977846
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|psychrophila	0.260489347846311	0.364551688221509	0.139448404090487	0.400064010241639	0.174123703535468	0.721234485072124	0.176383215744523	0.0951746454744456	0.0730393499497854	0.100027280167318	0.203810367744794	1.70743405275779	0.137622570101497	0.160080882972449	0.358230342109977	0.0606113083383843	0.342580213903743	0.111626309462476
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Massilia|Unassigned	0.0558191459670667	0	0.00774713356058258	0.0240038406144983	0.00757059580588992	0.0335457900033546	0.06498329001114	0.0190349290948891	0.0730393499497854	0.0363735564244794	0.00886132033673017	0.00959232613908873	0.172028212626871	0.00842530963012891	0.0268672756582483	0.0086587583340549	0.0334224598930481	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Noviherbaspirillum|agri	0.213973392873756	0.243034458814339	0.178184071893399	0.192030724915987	0.499659323188735	0.201274740020127	0.445599702933531	0.285523936423337	0.17346845613074	0.363735564244794	0.177226406734603	0.115107913669065	0.309650782728367	0.429690791136574	0.331363066451728	0.346350333362196	0.167112299465241	0.394985402713378
