"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Acidobacteria|c__Vicinamibacteria",0.000178316690442225,0.000567169016366877,7.50018750468762e-05,7.66518473095202e-05,7.28650539201399e-05,0.00016061676839062,0.00218267293485561,0.000772068285150553,0.000844880027036161,0.000517687661777394,0.00175845256174566,0.00244862264975951,0.00115127791848952,0.00037775763070414,0.00122850122850123,0.000790326404805185,0.000303398058252427,0.000482858522452921
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia",0.000624108416547789,0.000729217306757414,0.000450011250281257,0.000689866625785681,0.00116584086272224,0.00016061676839062,0.00041974479516454,0.000428926825083641,0.00101385603244339,0.000690250215703192,0.000479577971385181,0.00069960647135986,0.000921022334791619,0.00219099425808401,0.000573300573300573,0.000711293764324666,0.000834344660194175,0.00112666988572348
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",0.000267475035663338,0.000243072435585805,0.000450011250281257,7.66518473095202e-05,0.000364325269600699,0.00040154192097655,0.00176292813969107,0.000600497555117097,0.00143629604596147,0.000517687661777394,0.00111901526656542,0.0014866637516397,0.000844270473558984,0.000831066787549108,0.000573300573300573,0.00102742432624674,0.000606796116504854,0.000563334942861742
"k__Bacteria|p__Firmicutes|c__Clostridia",0,0.00421325555015395,0.000900022500562514,0.00015330369461904,0.00021859516176042,0.00016061676839062,0.000587642713230356,0.000257356095050184,0.000844880027036161,0.000345125107851596,0.00015985932379506,0.00069960647135986,0.000383759306163174,0.000302206104563312,0.000327600327600328,0.000316130561922074,0.00022754854368932,0.00177048124899404
"k__Bacteria|p__Actinobacteria|c__Rubrobacteria",0.000178316690442225,0.00121536217792902,0.000450011250281257,0.000459911083857121,7.28650539201399e-05,0.00048185030517186,0.0010913364674278,0.000772068285150553,0.000337952010814464,0.000517687661777394,0.000319718647590121,0.00131176213379974,0.000767518612326349,0.00037775763070414,0.000573300573300573,0.000632261123844148,0.0010618932038835,0.000482858522452921
"k__Bacteria|p__Planctomycetes|c__Unassigned",8.91583452211127e-05,0.000243072435585805,0.000150003750093752,0,7.28650539201399e-05,0.00016061676839062,0.00125923438549362,0.00094363901518401,0.000253464008110848,0.000431406384814495,0.000879226280872832,0.000524704853519895,0.000383759306163174,0.00037775763070414,0.000737100737100737,0.000316130561922074,0.000303398058252427,0.000482858522452921
"k__Bacteria|p__Chlamydiae|c__Chlamydiia",0.000178316690442225,0.000162048290390536,0.000300007500187505,0.00015330369461904,0.00021859516176042,0.00032123353678124,0.00041974479516454,0.000257356095050184,0.00042244001351808,0.00103537532355479,7.99296618975302e-05,0,0.00015350372246527,0.000151103052281656,0.000900900900900901,0.000237097921441555,0,0.000643811363270562
"k__Bacteria|p__Spirochaetes|c__Spirochaetia",8.91583452211127e-05,8.10241451952682e-05,7.50018750468762e-05,0.00015330369461904,7.28650539201399e-05,0,0.000167897918065816,0.000257356095050184,0.000253464008110848,0.000258843830888697,0.00015985932379506,0.000262352426759948,0,0.000453309156844968,0.000163800163800164,0.000237097921441555,0,0.000321905681635281
"k__Bacteria|p__Planctomycetes|c__Phycisphaerae",0.000356633380884451,0.000405120725976341,0,0.00015330369461904,0,8.030838419531e-05,0.000335795836131632,8.57853650167281e-05,0,0,0.00015985932379506,0.000437254044599913,0.00015350372246527,7.5551526140828e-05,8.19000819000819e-05,0.000316130561922074,7.58495145631068e-05,0.000241429261226461
"k__Bacteria|p__Gemmatimonadetes|c__Unassigned",8.91583452211127e-05,0.000162048290390536,7.50018750468762e-05,0,0,0,0.000251846877098724,0.000257356095050184,0.000168976005407232,0.000172562553925798,0.00015985932379506,0.000174901617839965,0,0.000151103052281656,0.000327600327600328,0.000158065280961037,7.58495145631068e-05,0.00016095284081764
"k__Bacteria|p__Verrucomicrobia|c__Unassigned",0.000178316690442225,0,0,0,0.00014573010784028,0.00032123353678124,8.3948959032908e-05,0.000171570730033456,0.000506928016221697,0.000258843830888697,7.99296618975302e-05,0,0.00015350372246527,7.5551526140828e-05,8.19000819000819e-05,7.90326404805185e-05,7.58495145631068e-05,0
"k__Bacteria|p__Firmicutes|c__Unassigned",0.000178316690442225,0,0.000150003750093752,7.66518473095202e-05,7.28650539201399e-05,0,0.000167897918065816,0,8.44880027036161e-05,0,0,0.000174901617839965,0.00015350372246527,0,0.000163800163800164,0,0,0
