Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium	1.06056377337427	0.980817637357868	1.27827703749613	0.752120339254281	0.613218260277084	0.813485407581349	1.29038247307835	0.866089273817455	0.465625855929882	0.763844684914068	0.894993354009748	1.15107913669065	0.627902976088078	0.53921981632825	0.671681891456206	0.536843016711404	0.40942513368984	0.944530310836339
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga	0.176760628895711	0.295113271417412	0.0232414006817478	0.0960153624579933	0.113558937088349	0.159342502515934	0.3249164500557	0.152279432759113	0.146078699899571	0.181867782122397	0.159503766061143	0.306954436450839	0.0946155169447789	0.101103715561547	0.0716460684219953	0.155857650012988	0.100267379679144	0.111626309462476
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium	0.781468043538934	0.850620605850187	0.743724821815928	0.904144663146103	0.757059580588992	1.00637370010064	0.956182695878203	0.732844770153231	0.684743905779239	0.827498408656906	0.939299955693398	0.882494004796163	0.713917082401514	0.598196983739152	0.841841303958445	1.0563685167547	0.860628342245989	0.789970805426756
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor	0.2511861568518	0.216995052512803	0.0619770684846607	0.328052488398144	0.264970853206147	0.628983562562898	0.25993316004456	0.142761968211668	0.246507806080526	0.154587614804037	0.177226406734603	0.249400479616307	0.309650782728367	0.176931502232707	0.241805480924234	0.129881375010823	0.183823529411765	0.163146144599004
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Roseitalea	0.0837287189506001	0.12151722940717	0.0309885342423303	0.0240038406144983	0.151411916117798	0.0251593425025159	0	0.00951746454744456	0.0456495937186159	0.0181867782122397	0.0354452813469207	0.0383693045563549	0	0.193782121492965	0.0179115171054988	0.0086587583340549	0.0334224598930481	0.0257599175682638
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Unassigned	0.102335100939622	0.0347192084020484	0.0697242020452433	0.0960153624579933	0.0454235748353395	0.100637370010064	0.139249907166729	0.123727039116779	0.0456495937186159	0.063653723742839	0.106335844040762	0.124700239808153	0.103216927576122	0.0842530963012891	0.0806018269747448	0.0606113083383843	0.0835561497326203	0.0858663918942126
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Pleomorphomonadaceae|Chthonobacter	0.0651223369615778	0.0347192084020484	0.0619770684846607	0.0640102416386622	0.158982511923688	0.0670915800067092	0.0556999628666914	0.0475873227372228	0.0639094312060623	0.0454669455305993	0.053167922020381	0.0383693045563549	0.0688112850507483	0.092678405931418	0.197026688160487	0.0346350333362196	0.0919117647058823	0.0686931135153701
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium	0.0930319099451112	0.00867980210051211	0.0774713356058258	0.0240038406144983	0.0681353622530093	0.00838644750083864	0	0.0951746454744456	0.0730393499497854	0.263708284077476	0.212671688081524	0.0959232613908873	0.00860141063134354	0.101103715561547	0.0716460684219953	0.164516408347043	0.0334224598930481	0.0772797527047913
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer	0.297702111824356	0.243034458814339	0.573287883483111	0.480076812289966	0.628359451888864	0.511573297551157	0.222799851466766	0.237936613686114	0.219118049849356	0.263708284077476	0.248116969428445	0.297362110311751	0.197832444520901	0.421265481506445	0.170159412502239	0.337691575028141	0.342580213903743	0.360638845955693
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Pararhizobium	1.06986696436878	1.11969447096606	1.79733498605516	2.11233797407585	2.84654402301461	2.04629319020463	0.705532862978091	0.675739982868564	0.748653336985301	0.982086023460944	1.27603012848914	0.997601918465228	1.18699466712541	1.69348723565591	0.761239476983701	0.839899558403325	1.61263368983957	0.81573072299502
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium	0.707042515582845	0.225674854613315	0.751471955376511	0.512081933109298	0.522371110606405	0.343844347534384	0.287783141477906	0.380698581897782	0.310417237286588	0.536509957261071	0.48737261852016	0.796163069544365	0.206433855152245	0.31173645631477	0.420920651979223	0.398302883366525	0.225601604278075	0.223252618924953
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Shinella	0.5023723137036	0.529467928131239	1.36349550666253	0.776124179868779	1.24914830797184	0.788326065078833	0.640549572966951	1.11354335205101	0.346936912261481	0.763844684914068	0.992467877713779	0.393285371702638	0.627902976088078	0.834105653382762	0.46569944474297	0.718676941726556	1.30347593582888	0.987463506783445
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Unassigned	0.623313796632245	0.364551688221509	0.612023551286024	0.552088334133461	0.605647664471194	0.478027507547803	0.816932788711474	0.761397163795565	0.511275449648498	0.491043011730472	0.770934869295525	1.03597122302158	0.258042318940306	0.31173645631477	0.626903098692459	0.510866741709239	0.660093582887701	0.446505237849906
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned|Unassigned	0.781468043538934	0.867980210051211	1.14657576696622	0.536085773723796	0.681353622530093	0.830258302583026	0.937616041589306	0.628152660131341	0.629964393316899	0.61835045921615	0.593708462560922	0.661870503597122	0.455874763461208	0.513943887437863	0.895575855274942	0.467572950038964	0.342580213903743	0.566718186501803
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Azospirillum	0.0837287189506001	0.0867980210051211	0.0387356678029129	0.0320051208193311	0.0151411916117798	0.0670915800067092	0.120683252877831	0.114209574569335	0.136948781155848	0.0454669455305993	0.0886132033673017	0.0671462829736211	0.0688112850507483	0.0505518577807734	0.0985133440802436	0.112563858342714	0.0501336898395722	0.0686931135153701
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Skermanella	0.0186063819890222	0.0433990105025605	0.00774713356058258	0.00800128020483277	0.00757059580588992	0.0335457900033546	0.0185666542888971	0	0.0273897562311695	0.00909338910611985	0	0.0383693045563549	0	0	0.188070929607738	0.0259762750021647	0	0.0257599175682638
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Unassigned	0.0186063819890222	0.0173596042010242	0.0464828013634955	0.0320051208193311	0.00757059580588992	0.00838644750083864	0.0371333085777943	0.0285523936423337	0.0365196749748927	0.0181867782122397	0.0265839610101905	0.0287769784172662	0.0258042318940306	0.0252759288903867	0	0.0259762750021647	0.0167112299465241	0.0257599175682638
