"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.00294222539229672,0.00429427969534921,0.000600015000375009,0.00145638509888088,0.0018216263480035,0.00152585929971089,0.00201477501678979,0.00248777558548512,0.00253464008110848,0.00232959447799827,0.00183838222364319,0.0014866637516397,0.00268631514314222,0.00143547899667573,0.00204750204750205,0.00229194657393504,0.00182038834951456,0.00313858039594399
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Unassigned|s__Unassigned",0.00231811697574893,0.00429427969534921,0.000750018750468762,0.00107312586233328,0.000582920431361119,0.00136524253132027,0.00260241773002015,0.00248777558548512,0.0021122000675904,0.00112165660051769,0.00247781951882344,0.00227372103191955,0.00475861539642336,0.00181323662737987,0.00155610155610156,0.000948391685766221,0.000834344660194175,0.00507001448575567
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|s__Unassigned",0.00098074179743224,0.00421325555015395,0.00202505062626566,0.00306607389238081,0.000364325269600699,0.00128493414712496,0.00277031564808596,0.00283091704555203,0.00152078404866509,0.00155306298533218,0.00287746782831109,0.000612155662439878,0.00145828536342006,0.00271985494106981,0.00212940212940213,0.000632261123844148,0.00348907766990291,0.00321905681635281
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas|s__Unassigned",0.00258559201141227,0.00121536217792902,0.00142503562589065,0.00206959987735704,0.0032789274264063,0.00088339222614841,0.0010073875083949,0.00291670241056876,0.00118283203785063,0.00232959447799827,0.00639437295180241,0.00253607345867949,0.00138153350218743,0.000528860682985796,0.00343980343980344,0.00158065280961037,0.00136529126213592,0.00144857556735876
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Promicromonospora|s__Unassigned",0.00205064194008559,0.00324096580781073,0.00112502812570314,0.00222290357197608,0.000801515593121539,0.00417603597815612,0.00251846877098724,0.00154413657030111,0.00143629604596147,0.00129421915444349,0.00455599072815922,0.00288587669435942,0.00115127791848952,0.00181323662737987,0.00171990171990172,0.00158065280961037,0.0011377427184466,0.0016095284081764
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Unassigned",0.00258559201141227,0.00324096580781073,0.00135003375084377,0.00145638509888088,0.000364325269600699,0.00144555091551558,0.00277031564808596,0.00300248777558549,0.00152078404866509,0.00207075064710958,0.00143873391415554,0.0020113686051596,0.00222580397574641,0.00143547899667573,0.00155610155610156,0.00181775073105192,0.00197208737864078,0.00434572670207629
"k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Baekduiaceae|g__Baekduia|s__Unassigned",0.0014265335235378,0.00210662777507697,0.00180004500112503,0.00237620726659512,0.00116584086272224,0.0016061676839062,0.00251846877098724,0.00368877069571931,0.00177424805677594,0.00172562553925798,0.00199824154743825,0.00367293397463927,0.00230255583697905,0.00105772136597159,0.00212940212940213,0.00142258752864933,0.0022754854368932,0.00152905198776758
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae 1|g__Unassigned|s__Unassigned",0.00151569186875892,0.00226867606546751,0.00172504312607815,0.00137973325157136,0.00123870591664238,0.00120462576292965,0.00344190732034923,0.00240199022046839,0.00270361608651571,0.00215703192407248,0.00199824154743825,0.00603410581547879,0.00145828536342006,0.00075551526140828,0.0018018018018018,0.00173871809057141,0.00128944174757282,0.00128762272654112
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Unassigned|g__Unassigned|s__Unassigned",0.00196148359486448,0.00186355533949117,0.00165004125103128,0.000996474015023762,0.00116584086272224,0.0016061676839062,0.0031900604432505,0.00154413657030111,0.00185873605947955,0.00207075064710958,0.00231796019502837,0.00262352426759948,0.0015350372246527,0.0018887881535207,0.00237510237510237,0.00252904449537659,0.0010618932038835,0.00289715113471753
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Unassigned",0.00187232524964337,0.000567169016366877,0.000750018750468762,0.00168634064080944,0.00779656076945497,0.00144555091551558,0.00083948959032908,0.00197306339538475,0.000844880027036161,0.00405522001725626,0.00303732715210615,0.00183646698731963,0.00115127791848952,0.000151103052281656,0.00131040131040131,0.00181775073105192,0.00121359223300971,0.00209238693062933
