	RDA1	RDA2	RDA3	RDA4
OTU_30908	-0.0120434961197737	-0.160906738179568	0.0811404686110942	0.12491549553533
OTU_31784	0.0187425447145649	-0.204090917821556	0.0781808433433837	0.297507425362316
OTU_18547	0.0379123446936683	0.0266485334811496	-0.120961860562776	0.101586359412589
OTU_28797	0.000549081419081632	0.0270305799221194	-0.0509595221460863	0.0225282716770054
OTU_9991	-0.0228647782609398	0.0855311621743198	0.0835090319385754	-0.0347840986918779
OTU_2874	0.0341656424625526	0.132645294832876	0.00539340954791963	-0.010730202367372
OTU_25990	-0.0212107577482403	-0.0296501171786534	-0.100578451279488	0.0621100414200804
OTU_30128	0.0295622303147874	0.0574419444929936	-0.0891235343942006	0.00555183431201785
OTU_30267	-0.00122709388209455	0.00614022583149413	-0.0675251565289959	0.0564608471286235
OTU_1994	0.00630465586549984	0.0867207268843919	-0.0166593646753455	0.000145143930482118
OTU_32179	0.0135807583617771	0.0751117058376446	0.0682705110739256	0.0235790172578015
OTU_28055	0.024685584136051	-0.0815162043793779	-0.00592978304214508	0.0990302772327337
OTU_23125	-0.03069994507318	-0.0383462904920122	0.0268665011148562	0.0389492609194528
OTU_920	0.00905735307153318	-0.0836766982127507	-0.057910759465826	0.125058444590386
OTU_36912	0.0112930279121323	0.0354292556452827	-0.104923939162857	0.0602408015172143
OTU_11662	0.0835709654334991	0.0399383744088176	-0.102313570634254	-0.0849961717706434
OTU_31621	0.00446937482453826	0.0245232027487526	-0.0244675171435427	-0.00852591922504201
OTU_25167	0.0427641807689257	-0.00916251257828364	-0.0174571312460893	0.0812070568825486
OTU_29447	0.00161371713935865	0.0197611699254121	-0.108209877272529	0.0559628527505135
OTU_11610	-0.00557549621911751	0.0944640876996477	0.166580296087594	-0.0249069094197713
OTU_26654	0.0979975643543208	0.0147053127273534	-0.00170972613926166	0.0805373014702625
OTU_18120	0.0164646789527558	-0.0755284003960578	-0.0540495385744809	-0.0581087745791028
OTU_11254	-0.0113086147530281	0.0509472698272196	-0.149352506581739	0.0603508360055121
OTU_2798	0.00328099724179901	-0.167955919015593	0.0554928363820764	0.223621847372702
OTU_17206	-0.00915874052246268	-0.15325394934203	0.0847793299264332	0.111208520998864
OTU_8984	0.0199813453529304	0.0663882075261496	-0.108652106186735	-0.0045523339891453
OTU_18724	0.0812362889500136	-0.0831754293693642	-0.0199166575219808	0.114181438972477
OTU_15171	0.00340335207467789	0.0529526378461118	-0.123347371564267	0.000235672817717325
OTU_27313	0.000360993550159969	-0.133163214028111	0.0760948634830147	0.193025709627236
OTU_17596	-0.0645944571949529	0.0390164287528239	-0.0893817270426504	-0.0685601400892145
OTU_24662	-0.0105165468405117	0.024886256821639	-0.0877503020650638	0.0112087527078234
OTU_36489	-0.00443017595415886	0.0087353921614613	-0.093586624136303	-0.0195721008607991
OTU_11460	0.014252805923324	0.0888635645056177	0.0130867693150284	-0.0239678347864187
OTU_7669	-0.0720324936213994	0.0413965802378707	-0.104918860820712	-0.0118261158461069
OTU_26576	0.0867742218570605	-0.0364499484333536	0.0139525457028307	0.0407221826918274
OTU_32036	-0.0485681335696437	0.0114932369534665	-0.0532763501021643	-0.00485478141657124
OTU_14572	0.0236199644839763	0.0377351107985485	-0.0776002845385406	0.0154872763897363
OTU_34687	0.000282453436076654	0.0322714428092463	-0.105319871787912	0.0498911820063402
OTU_25317	0.0317972451319981	0.0335168066934608	-0.0363124862380475	0.0629025038341687
OTU_30889	0.00243173000045748	0.0440428867329599	-0.0702127001521775	0.0299431901531719
OTU_26102	-0.0280857697062605	0.00141746634799844	-0.0431860590683254	0.0258251683175085
OTU_33791	-0.0363163533931265	0.00535898122984428	0.0192440291745421	0.0942577193853428
OTU_16767	0.023826940218131	0.0494786621406963	-0.0687063449149382	0.0398588814088644
