"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_18",-20.1339640142262,30.6006105511774,"bac_ASV_18","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Unassigned","bac",2,0.0475323624595469,16.8916583362689,2
"bac_ASV_180",17.829774344977,27.0292124745466,"bac_ASV_180","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Unassigned","bac",0,0,0,0
"bac_ASV_185",-17.7694006813614,22.8132432287193,"bac_ASV_185","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",15,0.0496513839002747,1212.60750931775,15
"bac_ASV_186",-10.5259547179055,-23.6451914697351,"bac_ASV_186","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",14,0.0493905002101723,1137.1201011534,14
"bac_ASV_187",20.8129400973389,-9.32672265852136,"bac_ASV_187","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",1,0.0445666603451546,0,1
"bac_ASV_188",-23.8218711305233,4.15733420267505,"bac_ASV_188","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","Chryseolinea_serpens","bac",10,0.0491837588949351,591.047051646414,10
"bac_ASV_189",-25.0518150268838,15.1175570653282,"bac_ASV_189","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",22,0.0499044383096199,1129.27683466174,22
"bac_ASV_19",-4.09740884071375,18.6401723855924,"bac_ASV_19","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Telmatobacter","Telmatobacter_bradus","bac",6,0.0482447136111681,144.261357452663,6
"bac_ASV_190",-12.8492657030861,27.288564509383,"bac_ASV_190","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",11,0.0488768718801997,485.690093826765,11
"bac_ASV_191",32.0449665487043,11.1243219716608,"bac_ASV_191","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_192",2.42959493388889,29.5886863480059,"bac_ASV_192","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_yeongjuensis","bac",0,0,0,0
"bac_ASV_194",-24.4820015242174,28.0893007925053,"bac_ASV_194","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",3,0.0467941059338909,269.294646136744,3
"bac_ASV_196",8.31871002377607,29.5007684815409,"bac_ASV_196","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",3,0.04648862512364,59.9788841321852,3
"bac_ASV_197",-26.1957237298782,18.3469041485734,"bac_ASV_197","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac",13,0.0490810359231412,414.293599850319,13
"bac_ASV_2",-20.1392205710263,-18.0020293444736,"bac_ASV_2","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",10,0.0485838329543105,557.675285908825,10
"bac_ASV_20",-13.6324307747051,-34.7634695958932,"bac_ASV_20","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_jaspsi","bac",3,0.0467382657120127,461.189000250364,3
"bac_ASV_200",12.3072353909404,-15.6912257619964,"bac_ASV_200","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","Unassigned","bac",5,0.047407706273956,1610.68414345486,5
"bac_ASV_202",-25.1399868305824,-24.4867565191306,"bac_ASV_202","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac",5,0.0478615071283096,214.058516059745,5
"bac_ASV_204",-5.42335970366363,7.32862423884232,"bac_ASV_204","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",8,0.0482150184653262,201.983036407337,8
"bac_ASV_205",-19.5284991760315,-34.0330387990707,"bac_ASV_205","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",3,0.0466825586015097,413.034225125306,3
"bac_ASV_206",-9.3028212928193,13.0654133748829,"bac_ASV_206","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",20,0.0497144066003808,690.014022161854,20
"bac_ASV_207",-10.8978684729222,22.2322923450624,"bac_ASV_207","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Unassigned","Unassigned","bac",15,0.0495362563237774,221.245249522089,15
"bac_ASV_21",-24.8812707149088,0.294016107136922,"bac_ASV_21","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac",3,0.0485036119711042,31.4243287463213,3
"bac_ASV_210",-11.6602062600136,20.8926138869036,"bac_ASV_210","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",18,0.0497038917089678,897.344241723552,18
"bac_ASV_211",-17.9353924701334,-30.2395035700075,"bac_ASV_211","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_koreensis","bac",6,0.0483240797861402,102.102050489867,6
"bac_ASV_213",-9.81246370138201,-21.3642333379793,"bac_ASV_213","bac","Bacteria","Bacteroidetes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",16,0.0494528619528619,809.151744136072,16
