#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3323	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema_stenostreptum
OTU_3319	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Microbispora	Microbispora_hainanensis
OTU_3322	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter_pfennigii
OTU_3317	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca
OTU_3327	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia_acanthamoebae
OTU_3330	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter_pfennigii
OTU_3303	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfoglaeba	Desulfoglaeba_alkanexedens
OTU_3320	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces_crocatus
OTU_3318	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter_wolinii
OTU_3304	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Haliangium_ochraceum
OTU_3324	Bacteria	Elusimicrobia	Endomicrobia	Clostridiales	Paenibacillaceae_1	Candidatus_Endomicrobium	Hyphomicrobium_nitrativorans
OTU_3328	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta
OTU_3333	Bacteria	Proteobacteria	Deltaproteobacteria	Clostridiales	Syntrophomonadaceae	Gp5	Desulfomicrobium_baculatum
OTU_3329	Bacteria	Verrucomicrobia	Subdivision5	Actinomycetales	Streptomycetaceae	Subdivision5_genera_incertae_sedis	Roseibacillus_ishigakijimensis
OTU_3335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodocyclales	Rhodocyclaceae	Magnetococcus	Magnetococcus_marinus
OTU_3336	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unassigned	Unassigned	Gp7	Unassigned
OTU_3332	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora_foliorum
OTU_3347	Bacteria	Proteobacteria	Gammaproteobacteria	Lactobacillales	Pasteurellaceae	Saccharibacteria_genera_incertae_sedis	Diplorickettsia_massiliensis
OTU_3334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas_frigidaquae
OTU_3349	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter	Melioribacter_roseus
OTU_3354	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	Ktedonobacter_racemifer
OTU_3350	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Haliangium_tepidum
