"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
11,0.182152230971129,666.757290125916,11
7,0.177402862985685,133.769385023634,7
11,0.183306920232435,255.160258378445,11
20,0.19171270718232,1366.6589202052,20
2,0.148480958493795,34.3010739856951,2
3,0.158955565735227,37.9154628885505,3
7,0.172123015873016,899.494140132194,7
17,0.190032858707558,1123.59570725517,17
14,0.187770562770563,502.505349906625,14
18,0.190869086908691,2038.68594496669,18
8,0.171273445212241,310.294397846052,8
9,0.18054110301769,80.99182322436,9
1,0.118308898738493,0,1
8,0.17272274763564,573.813887508849,8
15,0.186058981233244,604.683124032136,15
7,0.169185763042418,426.474530112969,7
8,0.17272274763564,1718.24440385846,8
17,0.195053400786959,1253.02964120111,17
1,0.129092261904762,0,1
6,0.173586793396698,83.5170474461834,6
9,0.171782178217822,1656.16153003502,9
2,0.155187835420394,588.351598917862,2
5,0.164299242424242,109.385193005513,5
1,0.152796125055042,0,1
3,0.166108185734801,358.704443682014,3
5,0.175341081354219,48.6473912439234,5
13,0.185165421558164,229.84202024564,13
2,0.143744821872411,344,2
6,0.17272274763564,147.269384512939,6
9,0.181865828092243,846.479047695368,9
3,0.1512641673932,484.826092089707,3
13,0.185462319615179,547.810463742911,13
1,0.110404072542157,0,1
16,0.192777777777778,537.653627592185,16
3,0.167309546769527,21.980501112993,3
8,0.182439537329127,178.83338220321,8
10,0.184280403611259,132.726170550906,10
12,0.187770562770563,475.363201017003,12
2,0.144824707846411,12.4056686657999,2
1,0.146228402865571,0,1
2,0.152930806522697,5.38818924179569,2
1,0.121925509486999,0,1
4,0.150281507145951,4.98369875055023,4
1,0.137753076617705,0,1
