ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_139	-0.18993	11.01556	0.659551747350689	0.815526822737677	NotSig	0.116	0.138	0.14	0.148	0.248	0.048	0.053	0.059	0.112	0.118	0.161	0.19	0.109	0.137
ASV_162	-0.22566	10.59689	0.66938829362885	0.822134615664964	NotSig	0.084	0.099	0.13	0.174	0.077	0.032	0.015	0.075	0.163	0.034	0.134	0.052	0.075	0.137
ASV_93	-0.29175	11.46201	0.683310669398084	0.833639016665663	NotSig	0.151	0.201	0.112	0.043	0.093	0.088	0.477	0.092	0.017	0.076	0.349	0.069	0.418	0.275
ASV_120	-0.14117	10.83001	0.700899547860812	0.848838382291666	NotSig	0.104	0.116	0.14	0.13	0.124	0.072	0.03	0.126	0.103	0.126	0.134	0.069	0.142	0.12
ASV_39	0.14894	12.82334	0.705046088023679	0.848838382291666	NotSig	0.498	0.47	0.335	0.729	0.744	0.304	0.522	0.352	0.344	0.657	0.519	0.632	0.142	0.524
ASV_150	-0.17548	10.7955	0.713351777289374	0.853224674797095	NotSig	0.1	0.115	0.149	0.13	0.062	0.096	0.038	0.126	0.026	0.11	0.161	0.061	0.092	0.24
ASV_410	0.16388	11.53809	0.722180513654564	0.858175545446658	NotSig	0.192	0.18	0.056	0.165	0.372	0.184	0.235	0.143	0.12	0.11	0.17	0.113	0.309	0.258
ASV_31	0.13526	13.1871	0.731259655892939	0.863358174376825	NotSig	0.634	0.6	0.381	0.304	0.968	0.592	0.939	0.621	0.499	0.699	0.296	0.571	0.936	0.601
ASV_251	-0.13424	10.77682	0.744910925964669	0.870241254680772	NotSig	0.099	0.112	0.14	0.122	0.062	0.08	0.076	0.117	0.069	0.177	0.107	0.208	0.05	0.06
ASV_118	0.10377	11.63469	0.749582697079973	0.870241254680772	NotSig	0.204	0.199	0.214	0.156	0.225	0.192	0.318	0.117	0.155	0.185	0.197	0.234	0.226	0.197
ASV_4	-0.12987	15.20685	0.751355837374656	0.870241254680772	NotSig	2.419	2.716	4.707	1.224	1.402	2.056	3.634	1.493	3.114	3.985	1.755	1.662	3.292	2.49
ASV_121	0.13399	11.08638	0.76545555251139	0.873571718476566	NotSig	0.14	0.128	0.186	0.104	0.085	0.08	0.106	0.277	0.086	0.135	0.125	0.078	0.276	0.069
ASV_23	0.23	13.32892	0.768959035495784	0.873571718476566	NotSig	0.718	0.658	0.419	0.399	3.076	0.192	0.061	0.159	0.464	0.093	0.887	0.745	0.627	1.133
ASV_7	-0.16022	14.6542	0.770703976355459	0.873571718476566	NotSig	1.573	1.872	0.754	0.373	3.215	1.144	3.301	0.654	2.219	2.612	1.675	0.701	1.663	2.361
ASV_142	0.12509	10.93784	0.773325783569419	0.873571718476566	NotSig	0.124	0.117	0.186	0.2	0.139	0.04	0.068	0.109	0.103	0.059	0.17	0.121	0.058	0.189
ASV_80	-0.18624	11.80773	0.780327300181226	0.876072981185057	NotSig	0.214	0.255	0.288	0.208	0.209	0.24	0.144	0.193	0.026	0	0.412	0.338	0.343	0.412
ASV_605	0.13151	10.50617	0.798693781248082	0.889328053086669	NotSig	0.088	0.082	0.047	0.217	0.093	0.072	0.023	0.075	0.06	0.025	0.09	0.121	0.142	0.052
ASV_27	-0.06861	12.98294	0.801853162619128	0.889328053086669	NotSig	0.526	0.567	0.558	0.72	0.511	0.328	0.401	0.637	0.576	0.506	0.654	0.597	0.368	0.704
ASV_29	-0.08168	13.08428	0.818505631848585	0.902328497760789	NotSig	0.568	0.608	0.633	0.512	0.442	0.864	0.167	0.788	0.74	0.615	0.627	0.554	0.744	0.369
ASV_50	0.07008	12.44185	0.832626202369978	0.911304711315684	NotSig	0.375	0.368	0.354	0.608	0.426	0.384	0.174	0.302	0.292	0.219	0.43	0.476	0.267	0.524
ASV_535	-0.13816	10.77854	0.836607603830792	0.911304711315684	NotSig	0.102	0.11	0.093	0.356	0.039	0.024	0.023	0.075	0.292	0.051	0.081	0.052	0.1	0.086
ASV_36	-0.07665	13.00941	0.854045913129793	0.923516152217691	NotSig	0.534	0.571	0.53	0.26	0.232	0.712	0.522	0.948	0.748	1.011	0.43	0.494	0.46	0.283
ASV_97	-0.05967	11.69922	0.857911179655779	0.923516152217691	NotSig	0.203	0.223	0.112	0.208	0.139	0.208	0.341	0.21	0.198	0.16	0.278	0.26	0.184	0.258
ASV_123	0.10909	11.22083	0.864115654689982	0.924755349755946	NotSig	0.157	0.148	0.065	0.252	0.07	0.144	0.023	0.386	0.043	0.084	0.313	0.069	0.075	0.301
ASV_44	0.05945	12.72634	0.875532232609426	0.931525573067006	NotSig	0.45	0.454	0.316	0.686	0.558	0.376	0.538	0.226	0.533	0.362	0.421	0.866	0.242	0.301
ASV_110	-0.05125	11.3798	0.889187676256729	0.940585807832263	NotSig	0.162	0.174	0.093	0.312	0.124	0.192	0.167	0.084	0.163	0.152	0.224	0.13	0.159	0.215
ASV_155	0.04752	10.79824	0.896523282796686	0.942895176734446	NotSig	0.107	0.106	0.158	0.087	0.039	0.12	0.114	0.126	0.146	0.084	0.107	0.095	0.134	0.069
ASV_127	-0.06216	11.14555	0.902575532600661	0.943836128376692	NotSig	0.133	0.145	0.13	0.061	0.364	0.096	0.053	0.092	0.155	0.152	0.161	0.078	0.084	0.24
ASV_236	-0.03275	10.61872	0.932178174242477	0.969253442536211	NotSig	0.091	0.095	0.102	0.13	0.062	0.056	0.061	0.134	0.129	0.093	0.134	0.078	0.033	0.103
ASV_192	0.04363	11.00701	0.942239796131509	0.969479246828782	NotSig	0.121	0.124	0.102	0.009	0.186	0.048	0.265	0.117	0.232	0.051	0.072	0.095	0.184	0.112
ASV_63	-0.03671	10.98468	0.942990742817067	0.969479246828782	NotSig	0.118	0.125	0.112	0.095	0.07	0.112	0.204	0.117	0.103	0.051	0.027	0.113	0.301	0.155
ASV_282	-0.02402	11.21783	0.953640316933204	0.971891277803937	NotSig	0.147	0.153	0.14	0.286	0.132	0.152	0.053	0.117	0.224	0.051	0.197	0.147	0.125	0.172
ASV_159	0.02629	10.81602	0.958150761873928	0.971891277803937	NotSig	0.109	0.109	0.13	0.156	0.062	0.224	0.015	0.067	0.095	0.059	0.134	0.104	0.067	0.197
ASV_134	0.01713	11.16035	0.961269515204987	0.971891277803937	NotSig	0.141	0.143	0.13	0.208	0.07	0.192	0.121	0.126	0.112	0.16	0.107	0.234	0.15	0.094
ASV_169	-0.02507	10.80639	0.976144329381335	0.98064347036319	NotSig	0.107	0.112	0.019	0.451	0	0.048	0.091	0.034	0.206	0.042	0.251	0.052	0.058	0.06
ASV_474	0.01525	10.55972	0.98064347036319	0.98064347036319	NotSig	0.087	0.089	0.074	0.156	0.201	0.04	0	0.05	0.052	0.076	0.09	0.121	0.159	0.034
