OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
ASV_274	1.14	9.709	0.0293735442249773	0.183446437519947	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	humi	0.084	0.044	0.13	0.043	0.085	0.08	0.121	0.042	0.019	0.038	0.009	0.045	0.089	0.067
ASV_1206	-2.077	8.073	0.0295353891409687	0.183446437519947	NotSig	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	tropica	0.003	0.017	0.009	0.009	0	0	0	0	0	0.029	0.027	0.018	0.027	0
ASV_389	-1.556	9.067	0.0296315831530018	0.183446437519947	NotSig	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	shivajiensis	0.017	0.057	0.019	0.026	0.023	0.016	0.008	0.008	0.028	0.029	0.183	0.055	0.009	0.038
ASV_641	1.101	9.417	0.0298587753025133	0.183453346667571	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	rhizophila	0.064	0.036	0.047	0.052	0.077	0.064	0.061	0.084	0.065	0.01	0.018	0.018	0.027	0.077
ASV_445	1.841	9.437	0.0299020873422912	0.183453346667571	NotSig	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora	sichuanensis	0.073	0.023	0.037	0.078	0	0.08	0.242	0	0.009	0.038	0.027	0.045	0.009	0.01
ASV_430	-1.839	8.466	0.0303103403826843	0.185124141709489	NotSig	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	caldifontis	0.007	0.031	0	0.035	0	0.008	0	0	0.009	0.029	0.018	0.045	0.009	0.077
ASV_170	0.871	10.418	0.0305446788150208	0.185281497711405	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquincola	amnicola	0.142	0.091	0.093	0.148	0.108	0.192	0.174	0.134	0.093	0.048	0.137	0.073	0.097	0.096
ASV_786	-2.343	9.119	0.0306081769347034	0.185281497711405	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Unassigned	Unassigned	0.011	0.066	0	0	0	0.056	0	0.008	0.056	0.057	0.091	0.191	0	0
ASV_531	-1.386	8.737	0.0312468887869934	0.188310896141084	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	konarekensis	0.012	0.04	0.009	0.009	0.015	0.04	0	0	0.065	0.038	0.037	0.036	0.018	0.048
ASV_140	0.897	10.497	0.031491960132849	0.188758168490379	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	aerius	0.151	0.095	0.13	0.113	0.093	0.16	0.25	0.159	0.121	0.124	0.064	0.109	0.097	0.058
ASV_107	1.08	10.813	0.0315982837120457	0.188758168490379	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor	soli	0.207	0.112	0.167	0.156	0.023	0.248	0.204	0.444	0.102	0.067	0.173	0.082	0.106	0.144
ASV_47	0.691	12.159	0.0319671703927296	0.190127886789946	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	gossypii	0.499	0.363	0.465	0.425	0.488	0.48	0.515	0.621	0.371	0.343	0.383	0.318	0.425	0.336
