"",Pvalues,FDR
ASV_48,0.20347,0.61467
ASV_589,0.20368,0.61467
ASV_736,0.20389,0.61467
ASV_1494,0.20392,0.61467
ASV_165,0.204,0.61467
ASV_1979,0.20413,0.61467
ASV_1023,0.20428,0.61467
ASV_717,0.20462,0.61467
ASV_1257,0.20583,0.61709
ASV_621,0.20632,0.61731
ASV_1671,0.2069,0.61782
ASV_720,0.20832,0.61921
ASV_151,0.20882,0.61921
ASV_889,0.20901,0.61921
ASV_1628,0.20902,0.61921
ASV_364,0.21042,0.62213
ASV_2,0.21096,0.62249
ASV_713,0.21181,0.62377
ASV_347,0.21279,0.62497
ASV_1655,0.21305,0.62497
ASV_2751,0.21418,0.62537
ASV_579,0.21421,0.62537
ASV_244,0.21446,0.62537
ASV_1160,0.21485,0.62537
ASV_2089,0.21541,0.62576
ASV_289,0.21591,0.62602
ASV_1298,0.2172,0.62756
ASV_460,0.21728,0.62756
ASV_144,0.21983,0.6325
ASV_143,0.22018,0.6325
ASV_667,0.22026,0.6325
ASV_1328,0.22241,0.63746
ASV_390,0.22313,0.63791
ASV_462,0.22382,0.63791
ASV_810,0.22384,0.63791
ASV_854,0.22489,0.63969
ASV_2128,0.22726,0.64519
ASV_1626,0.22914,0.6493
ASV_1339,0.22993,0.64935
ASV_321,0.23011,0.64935
ASV_952,0.23137,0.64935
ASV_2603,0.23146,0.64935
ASV_393,0.23202,0.64935
ASV_535,0.23266,0.64935
ASV_685,0.2327,0.64935
ASV_249,0.23327,0.64935
ASV_1497,0.23359,0.64935
ASV_1090,0.23385,0.64935
ASV_409,0.23421,0.64935
ASV_474,0.23436,0.64935
ASV_27,0.23671,0.65348
ASV_2257,0.23672,0.65348
ASV_45,0.23747,0.65434
ASV_47,0.23851,0.65601
ASV_1308,0.24038,0.65849
ASV_624,0.24148,0.65849
ASV_924,0.24152,0.65849
ASV_897,0.24189,0.65849
ASV_840,0.24223,0.65849
ASV_1154,0.24308,0.65849
ASV_1064,0.24361,0.65849
ASV_116,0.24487,0.65849
ASV_1367,0.24489,0.65849
ASV_301,0.24506,0.65849
ASV_787,0.24512,0.65849
ASV_573,0.24522,0.65849
ASV_606,0.24597,0.65849
ASV_1350,0.246,0.65849
ASV_2469,0.24652,0.65849
ASV_478,0.2475,0.65849
ASV_1533,0.24769,0.65849
