"",Pvalues,FDR,KO,OE,WT,LDAscore
ASV_803,0.038718,0.19607,1724.1,3635.3,2350,2.98
ASV_48,0.038718,0.19607,37318,51207,31197,4
ASV_1010,0.038718,0.19607,636.29,1802.3,1278.3,2.77
ASV_1239,0.039403,0.19688,1000.4,1605.6,525.78,2.73
ASV_310,0.039403,0.19688,2735.3,8738.2,4646,3.48
ASV_1982,0.039403,0.19688,3475.6,2023.3,1139.4,3.07
ASV_587,0.039403,0.19688,3219.2,1558,1595.6,2.92
ASV_1268,0.039649,0.19745,206.63,2093.6,906.72,2.98
ASV_981,0.040335,0.19889,1041.3,1801.1,861.81,2.67
ASV_362,0.040335,0.19889,3857.2,6337.1,4000.8,3.09
ASV_529,0.040335,0.19889,2140,1926.8,3264.5,2.83
ASV_853,0.04081,0.20057,5786,3887.8,3793.9,3
ASV_1807,0.041717,0.20332,443.77,1038.7,774.67,2.47
ASV_1210,0.041776,0.20332,444.55,1514.2,1050.7,2.73
ASV_2201,0.041776,0.20332,8363.7,5292.4,2693.4,3.45
ASV_726,0.042267,0.20373,1258.1,1939,2150.4,2.65
ASV_21,0.042267,0.20373,51919,56019,76985,4.1
ASV_604,0.042267,0.20373,2680.3,4664.1,2200.7,3.09
ASV_860,0.043064,0.2069,727.91,1902.5,2228.8,2.88
ASV_764,0.043707,0.20932,396.75,3443.6,859.29,3.18
ASV_1383,0.044551,0.21001,763.59,1088.7,2225.1,2.86
ASV_62,0.044551,0.21001,40746,23230,28069,3.94
ASV_174,0.044551,0.21001,1718.3,8319.8,20083,3.96
ASV_318,0.044551,0.21001,2711.7,4447.3,6530.9,3.28
ASV_2368,0.044551,0.21001,4019.6,6764.7,6037.3,3.14
ASV_1198,0.044762,0.21034,348.4,1607.2,965.31,2.8
ASV_1369,0.044951,0.21057,1082.9,221.5,615.2,2.64
ASV_248,0.04534,0.21107,7778.6,10794,5625.7,3.41
ASV_795,0.04534,0.21107,864.49,2701.7,1776.4,2.96
ASV_668,0.045826,0.21267,2732,3146.7,624.06,3.1
ASV_286,0.046413,0.21341,4191.2,8797.5,6429.8,3.36
ASV_677,0.046413,0.21341,1143.2,2778.3,2008.8,2.91
ASV_2700,0.046413,0.21341,1105.7,2137.9,807.8,2.82
ASV_32,0.046959,0.21461,43200,57827,57016,3.86
ASV_447,0.046959,0.21461,1801.2,3318.7,3776.5,3
ASV_1411,0.048272,0.21994,738.04,1284.2,385.44,2.65
ASV_278,0.048921,0.22022,8070.3,5365.8,4919.1,3.2
ASV_140,0.048921,0.22022,15692,10172,11247,3.44
ASV_123,0.048921,0.22022,16035,11096,12495,3.39
ASV_98,0.048921,0.22022,22229,13222,15497,3.65
ASV_64,0.049787,0.22143,33615,18169,26800,3.89
ASV_1574,0.049787,0.22143,869.39,2634.2,1622.4,2.95
ASV_166,0.049787,0.22143,42290,37866,47220,3.67
ASV_503,0.049787,0.22143,1758.3,3755.9,2414.7,3
ASV_2478,0.050358,0.22143,155.43,1164.8,581.34,2.7
ASV_152,0.050373,0.22143,8793.7,7283,14520,3.56
ASV_1063,0.050373,0.22143,493.25,1166.7,915.95,2.53
ASV_1859,0.050438,0.22143,345.75,666.72,1007,2.52
ASV_1757,0.050519,0.22143,602.16,1626.9,584.32,2.72
ASV_1138,0.050935,0.2226,712.81,1641.1,393.06,2.8
ASV_1036,0.051264,0.22272,904.43,1982,992.45,2.73
ASV_921,0.051264,0.22272,962.74,1770.2,1016.3,2.61
ASV_2419,0.051407,0.22272,474.31,933.68,1250.3,2.59
ASV_1126,0.051565,0.22275,569.26,1035.2,1797.9,2.79
ASV_2077,0.053385,0.22864,443.74,1450.7,665,2.7
ASV_781,0.053385,0.22864,638.91,2533.4,2941.9,3.06
ASV_1261,0.053385,0.22864,1118.6,1265.5,281.97,2.69
ASV_736,0.054035,0.23011,1907.3,2132.7,914.18,2.79
ASV_2106,0.054035,0.23011,1038.8,2784.8,2066.2,2.94
ASV_2061,0.054991,0.23286,1678.5,2889.7,1388.6,2.88
ASV_54,0.054991,0.23286,44762,35755,22313,4.05
ASV_1113,0.056018,0.23654,546.9,3742.8,520.28,3.21
ASV_2014,0.056491,0.23771,98.342,823.22,534,2.56
ASV_1439,0.056614,0.23771,539.3,3084.8,728.12,3.11
ASV_164,0.057289,0.2387,7009,16648,8840,3.68
ASV_409,0.057289,0.2387,4538.7,3800,2419.8,3.03
ASV_941,0.057371,0.2387,741.47,1926,1157.8,2.77
ASV_807,0.057539,0.2387,686.68,2511.3,1969.4,2.96
ASV_1404,0.057868,0.2387,382.73,1587.1,921.36,2.78
ASV_653,0.057963,0.2387,1593.4,2127.3,2487.7,2.65
ASV_426,0.057963,0.2387,5317,4102.6,3136.9,3.04
ASV_2098,0.058816,0.2388,578.23,1536.6,1019.1,2.68
ASV_844,0.058989,0.2388,697.26,2460.2,1399.1,2.95
ASV_335,0.058989,0.2388,2758.1,7895.6,3841.8,3.41
ASV_1178,0.059859,0.2388,407.81,1046.3,1353.1,2.68
ASV_391,0.060033,0.2388,7342.9,2377,3234.4,3.4
ASV_985,0.060033,0.2388,1933.4,1207.7,777.47,2.76
ASV_1440,0.060033,0.2388,852.87,1945.4,1387.8,2.74
ASV_161,0.060033,0.2388,1738.3,21568,6819.4,4
ASV_919,0.060033,0.2388,995.69,2040.3,2666.8,2.92
ASV_2480,0.060033,0.2388,1168.7,2923.5,1577.4,2.94
ASV_1244,0.060033,0.2388,663.67,1609.8,768.35,2.68
ASV_46,0.060033,0.2388,33474,49067,48108,3.89
ASV_1887,0.060059,0.2388,448.74,1214.9,380.19,2.62
ASV_1061,0.060491,0.23988,510.16,783.82,1866.5,2.83
ASV_1289,0.061846,0.24461,244.16,1411.1,1148.5,2.77
ASV_601,0.062177,0.24463,1215.4,3595.8,2064.5,3.08
ASV_1015,0.062177,0.24463,1531.6,932.24,1613.7,2.53
ASV_443,0.062581,0.24493,344.36,3405.9,5632.1,3.42
ASV_1324,0.062581,0.24493,834.58,1111.6,340.1,2.59
ASV_1753,0.062926,0.24563,537.31,551.13,1244.5,2.55
ASV_561,0.063648,0.24563,1650.5,2643.7,2694.4,2.72
ASV_1888,0.064215,0.24563,1124.7,1708.1,627.53,2.73
ASV_873,0.064397,0.24563,3914.2,6230,3608.9,3.12
ASV_934,0.064397,0.24563,1930.4,1094.9,1204.9,2.62
