OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_220	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_259	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	uncultured	uncultured bacterium
OTU_63	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	uncultured bacterium
OTU_1057	Bacteria	Cyanobacteria	Chloroplast	uncultured diatom	Unassigned	Unassigned	Unassigned
OTU_175	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_91	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIV	FamilyI	uncultured Aphanizomenon sp.	Unassigned
OTU_187	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Candidatus Methylopumilus	uncultured bacterium
OTU_1388	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	uncultured bacterium	Unassigned
OTU_71	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	uncultured bacterium
OTU_418	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	Unassigned
OTU_3107	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Leptolyngbya	Unassigned
OTU_4776	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10 marine group	uncultured bacterium
OTU_938	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_1533	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured bacterium
OTU_1999	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	uncultured Bacteroidetes bacterium
OTU_840	Bacteria	Cyanobacteria	Chloroplast	Guillardia theta	Unassigned	Unassigned	Unassigned
OTU_429	Bacteria	Cyanobacteria	Chloroplast	Guillardia theta	Unassigned	Unassigned	Unassigned
OTU_386	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_707	Bacteria	Cyanobacteria	Chloroplast	uncultured diatom	Unassigned	Unassigned	Unassigned
OTU_98	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured actinobacterium
OTU_374	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Unassigned	Unassigned
OTU_45	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_280	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	uncultured bacterium
OTU_3819	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Solimonadaceae	uncultured	uncultured gamma proteobacterium
