#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_11001	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	4	2	2	0	1	0	4	1	0	0	0	0	0	0	0	0	0
OTU_4878	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	7	0	0	7	9	11	3	1	0	20	3	6	1	8	9	0	0	0	0	0
OTU_9487	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_8488	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	17	4	0	0	0	1	5	1	0	0	0	0	0	0	0	0
OTU_11465	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	2	1	3	1	0	1	0	0	0	0	0	0
OTU_9488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_8835	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	0	4	2	0	0	9	3	0	12	0	1	9	0	0	2	0	0	0
OTU_10248	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	1	0	13	1	2	0	1	0	0	0	0	0	0	0	0	0	0
OTU_11993	0	0	0	0	0	0	0	0	0	0	0	0	7	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5407	0	0	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3922	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	1	0	2	1	18	31	0	0	7	6	3	2	0	0	0	0	0	0	0	0
OTU_3832	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	10	0	0	14	14	12	5	1	2	51	12	8	3	5	7	0	0	0	0	0
OTU_5335	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	3	8	3	2	3	0	19	1	1	0	1	0	0	0	0	0	0
OTU_8812	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	1	0	0	0	0	5	0	0	1	1	0	8	0	1	0	0	0	0	0	0
OTU_11990	0	0	0	0	0	0	0	0	0	0	0	0	4	1	10	1	0	0	2	0	5	2	0	2	1	0	2	0	0	0	0	0	0	0	0
OTU_9101	0	0	0	0	0	0	0	0	0	0	0	0	1	17	55	0	0	0	0	1	3	0	1	0	1	1	0	0	0	0	0	0	4	0	0
OTU_2150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8080	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	6	0	0	1	2	0	0	0	0	13	3	5	0	0	0	0	0	0	0	0
OTU_8581	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0
OTU_8442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	0	3	3	5	0	12	9	0	0	0	0	0
OTU_4606	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	3	1	1	0	0	8	0	14	0	0	0	0	0	0	0	0
OTU_8561	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	0	0	0	0
OTU_9095	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
