,Sample,Abundance,aa,Group
1098,KO5,0,others,KO
1099,KO2,0,others,KO
1100,KO4,0,others,KO
1101,KO5,0,others,KO
1102,KO2,0,others,KO
1103,KO4,0,others,KO
1104,KO3,0,others,KO
1105,KO3,0,others,KO
1106,KO6,0,others,KO
1107,KO5,0,others,KO
1108,KO1,0,others,KO
1109,KO3,0,others,KO
1110,KO6,0,others,KO
1111,KO5,0,others,KO
1112,KO5,0,others,KO
1113,KO1,0,others,KO
1114,KO3,0,others,KO
1115,KO5,0,others,KO
1116,KO5,0,others,KO
1117,KO3,0,others,KO
1118,KO5,0,others,KO
1119,KO4,0,others,KO
1120,KO1,0,others,KO
1121,KO5,0,others,KO
1122,KO4,0,others,KO
1123,KO5,0,others,KO
1124,KO4,0,others,KO
1125,KO2,0,others,KO
1126,KO3,0,others,KO
1127,KO2,0,others,KO
1128,KO3,0,others,KO
1129,KO5,0,others,KO
1130,KO3,0,others,KO
1131,KO6,0,others,KO
1132,KO4,0,others,KO
1133,KO4,0,others,KO
1134,KO2,0,others,KO
1135,KO1,0,others,KO
1136,KO4,0,others,KO
1137,KO3,0,others,KO
1138,KO4,0,others,KO
1139,KO4,0,others,KO
1140,KO3,0,others,KO
1141,KO5,0,others,KO
1142,KO3,0,others,KO
1143,KO2,0,others,KO
1144,KO6,0,others,KO
1145,KO2,0,others,KO
1146,KO1,0,others,KO
1147,KO4,0,others,KO
1148,KO1,0,others,KO
1149,KO5,0,others,KO
1150,KO3,0,others,KO
1151,KO6,0,others,KO
1152,KO5,0,others,KO
1153,KO3,0,others,KO
1154,KO6,0,others,KO
1155,KO5,0,others,KO
1156,KO4,0,others,KO
1157,KO5,0,others,KO
1158,KO1,0,others,KO
1159,KO3,0,others,KO
1160,KO2,0,others,KO
1161,KO6,0,others,KO
1162,KO1,0,others,KO
1163,KO4,0,others,KO
1164,KO6,0,others,KO
1165,KO4,0,others,KO
1166,KO4,0,others,KO
1167,KO3,0,others,KO
1168,KO4,0,others,KO
1169,KO3,0,others,KO
1170,KO5,0,others,KO
1171,KO4,0,others,KO
1172,KO5,0,others,KO
1173,KO6,0,others,KO
1174,KO5,0,others,KO
1175,KO4,0,others,KO
1176,KO1,0,others,KO
1177,OE1,6.94320272117232,Unassigned,OE
1178,OE6,6.44325876002371,Unassigned,OE
1179,OE5,6.3269798389114,Unassigned,OE
1180,OE2,6.26531678116588,Unassigned,OE
1181,OE3,6.17444367444368,Unassigned,OE
1182,OE4,6.13300143686884,Unassigned,OE
1183,OE3,1.33691383691384,Streptomyces,OE
1184,OE2,1.02195572696959,Flavobacterium,OE
1185,OE3,1.01784476784477,Flavobacterium,OE
1186,OE4,0.838342136684678,Rhizobacter,OE
1187,OE4,0.771558092000081,Streptomyces,OE
1188,OE5,0.749412176697184,Rhizobacter,OE
1189,OE3,0.72043197043197,Rhizobacter,OE
1190,OE4,0.707809685710238,Flavobacterium,OE
1191,OE4,0.660757290591545,Pelomonas,OE
1192,OE1,0.622231813464048,Steroidobacter,OE
1193,OE3,0.614556864556865,Pelomonas,OE
1194,OE2,0.605640592985416,Streptomyces,OE
1195,OE6,0.586601766045742,Steroidobacter,OE
1196,OE6,0.58140139577938,others,OE
1197,OE1,0.576502142614915,Rhizobacter,OE
1198,OE6,0.573080803353199,Rhizobacter,OE
1199,OE5,0.560808444644555,Lentzea,OE
1200,OE2,0.525792455104255,Rhizobacter,OE
1201,OE6,0.522637211769478,Streptomyces,OE
1202,OE5,0.51528340587323,Steroidobacter,OE
1203,OE5,0.513782580419231,Pelomonas,OE
1204,OE3,0.490875490875491,Actinoplanes,OE
1205,OE5,0.488768822852569,Streptomyces,OE
1206,OE1,0.476307919967938,others,OE
1207,OE6,0.456592509386668,Lentzea,OE
1208,OE2,0.453477160419429,Nocardioides,OE
1209,OE5,0.423232778027915,Actinoplanes,OE
1210,OE2,0.420834839901973,Steroidobacter,OE
1211,OE4,0.415882460081355,Steroidobacter,OE
1212,OE2,0.412799807159214,Lentzea,OE
1213,OE1,0.410025588063014,Bradyrhizobium,OE
1214,OE3,0.409062909062909,Steroidobacter,OE
1215,OE4,0.400704268107583,Lentzea,OE
1216,OE1,0.400263074061514,Lentzea,OE
1217,OE5,0.382710490769923,Bradyrhizobium,OE
1218,OE5,0.375706638651258,Nocardioides,OE
1219,OE1,0.369434082477829,Streptomyces,OE
1220,OE2,0.364589610702664,Actinoplanes,OE
1221,OE6,0.364545955672044,Bradyrhizobium,OE
1222,OE1,0.362240651108302,Pelomonas,OE
1223,OE6,0.3510249929795,Pelomonas,OE
1224,OE3,0.34024409024409,others,OE
1225,OE4,0.332402404225609,Actinoplanes,OE
1226,OE2,0.330942911092363,others,OE
1227,OE4,0.324813308238723,others,OE
1228,OE6,0.320862845434595,others,OE
1229,OE3,0.31955031955032,Lentzea,OE
1230,OE5,0.314673070188604,Flavobacterium,OE
1231,OE6,0.31306229003505,Nocardioides,OE
1232,OE6,0.312542253008414,Actinoplanes,OE
1233,OE4,0.304069779207901,others,OE
1234,OE2,0.302318106946286,Bradyrhizobium,OE
1235,OE3,0.3003003003003,Nocardioides,OE
1236,OE5,0.295662614437941,others,OE
1237,OE1,0.292361603518616,others,OE
1238,OE1,0.288251071307458,Actinoplanes,OE
1239,OE6,0.286540401676599,Flavobacterium,OE
1240,OE4,0.268653997935766,Bradyrhizobium,OE
1241,OE1,0.266156960672483,Nocardioides,OE
1242,OE2,0.260134185046804,Pelomonas,OE
1243,OE3,0.25987525987526,others,OE
1244,OE3,0.251212751212751,Bradyrhizobium,OE
1245,OE4,0.24993422783478,Nocardioides,OE
1246,OE4,0.246392649707567,others,OE
1247,OE2,0.240046603189908,others,OE
1248,OE4,0.23930949345314,others,OE
1249,OE6,0.236616847119515,others,OE
1250,OE1,0.233786519509614,Flavobacterium,OE
1251,OE2,0.23000281226146,others,OE
1252,OE4,0.221601602817072,others,OE
1253,OE5,0.219120516283956,others,OE
1254,OE3,0.214637714637715,others,OE
1255,OE2,0.213430557229521,others,OE
1256,OE6,0.204374551468065,others,OE
1257,OE6,0.203334477414792,others,OE
1258,OE5,0.181599879933964,others,OE
1259,OE2,0.181290426258487,others,OE
1260,OE5,0.179098504177297,others,OE
1261,OE5,0.177597678723298,others,OE
1262,OE3,0.177100177100177,others,OE
1263,OE6,0.175772515003068,others,OE
1264,OE2,0.175264151701418,others,OE
1265,OE5,0.171594376907299,others,OE
1266,OE4,0.165948232246575,others,OE
1267,OE4,0.162406654119361,others,OE
1268,OE4,0.161394774654443,others,OE
1269,OE2,0.158691896669479,others,OE
1270,OE6,0.15861129312407,others,OE
1271,OE5,0.157586672669968,others,OE
1272,OE5,0.156586122367302,others,OE
1273,OE1,0.155686407497611,others,OE
1274,OE5,0.154084746610636,others,OE
1275,OE1,0.152603508339242,others,OE
1276,OE5,0.152583921156636,others,OE
1277,OE4,0.151275980005262,others,OE
1278,OE1,0.151062058760058,others,OE
1279,OE1,0.150548242233663,others,OE
1280,OE3,0.148225148225148,others,OE
1281,OE6,0.146130404484799,others,OE
1282,OE5,0.145079793886638,others,OE
1283,OE6,0.14457029340489,others,OE
1284,OE6,0.140930034218436,others,OE
1285,OE5,0.140577317524639,others,OE
1286,OE1,0.137702829073794,others,OE
1287,OE2,0.136595556626893,others,OE
1288,OE5,0.13307319025464,others,OE
1289,OE2,0.132075850709092,others,OE
1290,OE4,0.132050270171817,others,OE
1291,OE3,0.131862631862632,others,OE
1292,OE4,0.130026511241981,others,OE
1293,OE3,0.12993762993763,others,OE
1294,OE6,0.129489219632438,others,OE
1295,OE5,0.126569613287308,others,OE
1296,OE3,0.125606375606376,others,OE
1297,OE2,0.125045197059178,others,OE
1298,OE4,0.123449294720013,others,OE
1299,OE1,0.122802149808346,others,OE
1300,OE2,0.122534249327066,others,OE
1301,OE1,0.122288333281952,others,OE
1302,OE5,0.121566861773976,others,OE
1303,OE5,0.121066586622642,others,OE
1304,OE3,0.118387618387618,others,OE
1305,OE1,0.117663984544399,others,OE
1306,OE6,0.115448219913258,others,OE
1307,OE4,0.114848319268209,others,OE
1308,OE5,0.11456300965531,others,OE
1309,OE2,0.112490458398618,others,OE
1310,OE4,0.112318620605913,others,OE
1311,OE3,0.110687610687611,others,OE
1312,OE3,0.109243859243859,others,OE
1313,OE6,0.10816770154035,others,OE
1314,OE1,0.106873837490109,others,OE
1315,OE6,0.105047479380532,others,OE
1316,OE6,0.105047479380532,others,OE
1317,OE1,0.104304754858135,others,OE
1318,OE2,0.10043790928448,others,OE
1319,OE2,0.0999357197380579,others,OE
1320,OE1,0.0991665895941877,others,OE
1321,OE2,0.0979269615523683,others,OE
1322,OE6,0.0977669610076237,others,OE
1323,OE5,0.0975536545099805,others,OE
1324,OE1,0.0965975069622139,others,OE
1325,OE2,0.0964203929131011,others,OE
1326,OE5,0.0960528290559808,others,OE
1327,OE6,0.094646738847806,others,OE
1328,OE3,0.0943250943250943,others,OE
1329,OE5,0.0935514532993146,others,OE
1330,OE1,0.0930007912774506,others,OE
1331,OE3,0.0928813428813429,others,OE
1332,OE6,0.0925665907412608,others,OE
1333,OE6,0.0925665907412608,others,OE
1334,OE2,0.0924028765417219,others,OE
1335,OE4,0.0920810313075506,others,OE
1336,OE4,0.0920810313075506,others,OE
1337,OE6,0.0920465537146245,others,OE
1338,OE1,0.0919731582246611,others,OE
1339,OE3,0.08999383999384,others,OE
1340,OE2,0.0898919288096099,others,OE
1341,OE4,0.0895513326452553,others,OE
1342,OE6,0.0884062945281704,others,OE
1343,OE2,0.0883853601703427,others,OE
1344,OE1,0.0873488094871083,others,OE
1345,OE4,0.0865156942505009,others,OE
1346,OE5,0.0860473260293161,others,OE
1347,OE1,0.0842659103287398,others,OE
1348,OE1,0.0842659103287398,others,OE
1349,OE1,0.0842659103287398,others,OE
1350,OE6,0.0821658502085348,others,OE
1351,OE5,0.0820451248186503,others,OE
1352,OE1,0.0811830111703713,others,OE
1353,OE2,0.0808525169740067,others,OE
1354,OE1,0.0806691946439765,others,OE
1355,OE5,0.0800440242133173,others,OE
1356,OE4,0.0794325379960739,others,OE
1357,OE1,0.0791277450647923,others,OE
1358,OE2,0.0788437587883171,others,OE
1359,OE5,0.0780429236079844,others,OE
1360,OE6,0.0780055539954445,others,OE
1361,OE4,0.0779147187986967,others,OE
1362,OE4,0.0779147187986967,others,OE
1363,OE3,0.0774813274813275,others,OE
1364,OE1,0.0770724789592132,others,OE
1365,OE3,0.077000077000077,others,OE
1366,OE5,0.0760418230026515,others,OE
1367,OE3,0.0755563255563255,others,OE
1368,OE3,0.0750750750750751,others,OE
1369,OE4,0.0743731406714832,others,OE
1370,OE2,0.0743240528705155,others,OE
1371,OE5,0.0740407223973185,others,OE
1372,OE3,0.0736313236313236,others,OE
1373,OE1,0.0734757632744499,others,OE
1374,OE4,0.0733612612065651,others,OE
1375,OE4,0.0723493817416469,others,OE
1376,OE2,0.0723152946848258,others,OE
1377,OE5,0.0710390714893191,others,OE
1378,OE5,0.0710390714893191,others,OE
1379,OE4,0.0703256228118107,others,OE
1380,OE6,0.0691649245426274,others,OE
1381,OE3,0.0683375683375683,others,OE
1382,OE2,0.0682977783134466,others,OE
1383,OE2,0.0672933992206018,others,OE
1384,OE3,0.0668938168938169,others,OE
1385,OE5,0.0660363199759868,others,OE
1386,OE2,0.0657868305813346,others,OE
1387,OE1,0.0657685153785286,others,OE
1388,OE2,0.0652846410349122,others,OE
1389,OE4,0.0647602857547609,others,OE
1390,OE6,0.0644845913029008,others,OE
1391,OE4,0.0642543460223018,others,OE
1392,OE1,0.0642270657993444,others,OE
1393,OE5,0.0630346690679874,others,OE
1394,OE3,0.0625625625625626,others,OE
1395,OE2,0.0622715037563778,others,OE
1396,OE4,0.0622305870924655,others,OE
1397,OE1,0.0616579831673706,others,OE
1398,OE1,0.0611441666409758,others,OE
1399,OE2,0.0607649351171106,others,OE
1400,OE6,0.0603242950898104,others,OE
1401,OE3,0.0591938091938092,others,OE
1402,OE3,0.0591938091938092,others,OE
1403,OE3,0.0587125587125587,others,OE
1404,OE4,0.0586890089652521,others,OE
1405,OE1,0.0585750840090021,others,OE
1406,OE2,0.0582539873849986,others,OE
1407,OE1,0.0580612674826073,others,OE
1408,OE2,0.0577517978385762,others,OE
1409,OE3,0.0577500577500578,others,OE
1410,OE6,0.0577241099566289,others,OE
1411,OE5,0.0575316424033218,others,OE
1412,OE3,0.0572688072688073,others,OE
1413,OE3,0.0572688072688073,others,OE
1414,OE3,0.0572688072688073,others,OE
1415,OE6,0.0572040729299926,others,OE
1416,OE6,0.0566840359033563,others,OE
1417,OE2,0.056245229199309,others,OE
1418,OE2,0.0557430396528866,others,OE
1419,OE4,0.0556533705704976,others,OE
1420,OE6,0.0556439618500837,others,OE
1421,OE5,0.0555305417979889,others,OE
1422,OE1,0.0549783683242388,others,OE
1423,OE2,0.0547386605600418,others,OE
1424,OE5,0.0540297163439892,others,OE
1425,OE6,0.0535638137435385,others,OE
1426,OE5,0.0525288908899895,others,OE
1427,OE6,0.0525237396902659,others,OE
1428,OE2,0.0522277128279298,others,OE
1429,OE4,0.0521117924432842,others,OE
1430,OE5,0.0520286157386563,others,OE
1431,OE3,0.0514938014938015,others,OE
1432,OE6,0.0514836656369934,others,OE
1433,OE6,0.0514836656369934,others,OE
1434,OE1,0.0513816526394755,others,OE
1435,OE1,0.0513816526394755,others,OE
1436,OE4,0.051099912978366,others,OE
1437,OE3,0.0495687995687996,others,OE
1438,OE5,0.0490269648306569,others,OE
1439,OE4,0.0485702143160707,others,OE
1440,OE1,0.048298753481107,others,OE
1441,OE5,0.0480264145279904,others,OE
1442,OE5,0.0475261393766572,others,OE
1443,OE5,0.0470258642253239,others,OE
1444,OE6,0.0468033323972667,others,OE
1445,OE1,0.0462434873755279,others,OE
1446,OE4,0.0460405156537753,others,OE
1447,OE2,0.0456992487244386,others,OE
1448,OE2,0.0456992487244386,others,OE
1449,OE4,0.0455345759213163,others,OE
1450,OE6,0.0452432213173578,others,OE
1451,OE1,0.0452158543227384,others,OE
1452,OE4,0.0450286361888572,others,OE
1453,OE6,0.0447231842907215,others,OE
1454,OE2,0.0446948696315937,others,OE
1455,OE2,0.0446948696315937,others,OE
1456,OE3,0.0442750442750443,others,OE
1457,OE3,0.0442750442750443,others,OE
1458,OE4,0.044016756723939,others,OE
1459,OE2,0.043690490538749,others,OE
1460,OE2,0.043690490538749,others,OE
1461,OE2,0.043690490538749,others,OE
1462,OE6,0.0436831102374489,others,OE
1463,OE5,0.0435239381659913,others,OE
1464,OE4,0.04351081699148,others,OE
1465,OE4,0.04351081699148,others,OE
1466,OE5,0.0430236630146581,others,OE
1467,OE1,0.0426467716907647,others,OE
1468,OE6,0.04212299915754,others,OE
1469,OE5,0.0420231127119916,others,OE
1470,OE2,0.0411795428066369,others,OE
1471,OE6,0.0410829251042674,others,OE
1472,OE3,0.0404250404250404,others,OE
1473,OE1,0.0385362394796066,others,OE
1474,OE6,0.0384827399710859,others,OE
1475,OE1,0.0380224229532119,others,OE
1476,OE1,0.0380224229532119,others,OE
1477,OE1,0.0380224229532119,others,OE
1478,OE1,0.0380224229532119,others,OE
1479,OE4,0.0379454799344302,others,OE
1480,OE1,0.0375086064268171,others,OE
1481,OE6,0.0374426659178133,others,OE
1482,OE6,0.0374426659178133,others,OE
1483,OE6,0.0374426659178133,others,OE
1484,OE2,0.0371620264352577,others,OE
1485,OE1,0.0364809733740276,others,OE
1486,OE4,0.036427660737053,others,OE
1487,OE6,0.0364025918645408,others,OE
1488,OE6,0.0364025918645407,others,OE
1489,OE5,0.0360198108959928,others,OE
1490,OE5,0.0360198108959928,others,OE
1491,OE6,0.0358825548379045,others,OE
