"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Hydrogenophilaceae",18,5,19,56,344,646,121,843,258,108,58,24,129,232,3,8,10,19
"Hyphomicrobiaceae",1648,1602,2220,1371,1789,1013,1466,1150,1538,1744,1046,1614,1926,1887,1919,987,1130,986
"Hyphomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iamiaceae",80,111,86,101,63,49,66,49,65,54,71,31,109,77,160,68,69,79
"Ignavibacteriaceae",0,32,32,0,7,9,48,6,0,25,0,14,5,11,0,0,0,0
"Intrasporangiaceae",52,37,134,120,129,56,166,91,120,82,57,107,126,92,115,98,115,39
"Jiangellaceae",2,0,0,0,2,1,1,4,3,3,15,6,8,15,8,0,0,1
"Kineosporiaceae",12,8,62,22,9,11,2,0,11,7,36,0,25,11,20,19,74,4
"Kofleriaceae",55,61,47,53,59,78,43,69,143,92,84,94,79,89,179,106,57,25
"Ktedonobacteraceae",158,166,89,93,74,156,78,39,75,39,147,25,314,55,225,115,233,237
"Labilitrichaceae",165,135,194,131,125,106,147,152,133,191,243,116,150,236,422,215,212,321
"Lachnospiraceae",21,0,3,3,5,3,2,5,6,7,13,0,12,8,0,2,21,2
"Lactobacillaceae",13,0,16,1,1,2,0,3,3,2,0,12,9,16,37,16,19,1
"Legionellaceae",359,245,225,333,303,199,218,146,290,361,355,245,259,394,381,199,351,290
"Leptospiraceae",21,34,0,38,76,46,44,46,61,90,82,23,33,45,16,0,22,26
"Leuconostocaceae",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
