"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_14946",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"ASV_10040",0,0,1,0,41,3,17,8,16,20,0,0,16,4,0,0,0,0
"ASV_23019",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"ASV_22077",0,3,18,19,0,0,0,1,7,0,0,0,0,0,0,0,0,0
"ASV_15129",0,3,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7681",0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_28254",0,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_17233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10628",0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26568",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_28807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV_26485",0,0,7,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"ASV_25010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_20492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29482",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV_11460",0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
"ASV_35485",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_34593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12942",0,0,0,9,5,0,6,1,2,7,8,0,0,1,0,0,3,29
"ASV_6587",0,5,16,11,0,3,3,0,3,0,0,0,5,0,42,0,6,2
"ASV_15211",0,5,0,0,0,2,0,0,2,0,0,24,0,0,0,0,0,0
"ASV_14308",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21
"ASV_15532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0
"ASV_17468",0,5,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5
"ASV_19138",0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
"ASV_36596",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2819",0,0,0,12,10,1,8,0,0,5,0,0,0,1,2,0,14,6
"ASV_5601",0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,24,3
"ASV_12203",0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0
"ASV_12754",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_14265",0,0,0,7,6,0,5,0,0,0,0,5,0,0,0,1,1,0
"ASV_16089",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6006",9,0,0,6,0,2,2,2,1,2,0,0,1,1,0,0,15,29
"ASV_4902",0,0,0,3,1,1,1,0,0,0,2,0,0,2,0,0,8,18
"ASV_21570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"ASV_29681",1,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,7
"ASV_7546",16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
