"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_20","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Unassigned","bac","bac_ASV_20"
"bac_ASV_200","bac","Bacteria","Chloroflexi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_200"
"bac_ASV_202","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","bac","bac_ASV_202"
"bac_ASV_204","bac","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Unassigned","Unassigned","bac","bac_ASV_204"
"bac_ASV_207","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_vulgare","bac","bac_ASV_207"
"bac_ASV_209","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Nocardia","Unassigned","bac","bac_ASV_209"
"bac_ASV_21","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Kribbella","Kribbella_catacumbae","bac","bac_ASV_21"
"bac_ASV_217","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio","Unassigned","bac","bac_ASV_217"
"bac_ASV_22","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_22"
"bac_ASV_224","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Saccharothrix","Saccharothrix_longispora","bac","bac_ASV_224"
"bac_ASV_23","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_keratiniphila_subsp._keratiniphila","bac","bac_ASV_23"
"bac_ASV_237","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_237"
"bac_ASV_24","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac","bac_ASV_24"
"bac_ASV_246","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Bacillus_thuringiensis","bac","bac_ASV_246"
"bac_ASV_25","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_burenkhanensis","bac","bac_ASV_25"
"bac_ASV_26","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_burenkhanensis","bac","bac_ASV_26"
"bac_ASV_27","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_neotropicale","bac","bac_ASV_27"
"bac_ASV_28","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinocorallia","Unassigned","bac","bac_ASV_28"
"bac_ASV_29","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unassigned","Unassigned","bac","bac_ASV_29"
"bac_ASV_3","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter","Rhizobacter_bergeniae","bac","bac_ASV_3"
"bac_ASV_30","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned","bac","bac_ASV_30"
"bac_ASV_31","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes","Unassigned","bac","bac_ASV_31"
"bac_ASV_32","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia","Kinneretia_asaccharophila","bac","bac_ASV_32"
"bac_ASV_33","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Unassigned","bac","bac_ASV_33"
"bac_ASV_34","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Kineosporia","Kineosporia_rhamnosa","bac","bac_ASV_34"
"bac_ASV_35","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_35"
"bac_ASV_36","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac","bac_ASV_36"
"bac_ASV_37","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Unassigned","bac","bac_ASV_37"
"bac_ASV_38","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac","bac_ASV_38"
"bac_ASV_39","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_39"
"bac_ASV_4","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Rhizobacter","Unassigned","bac","bac_ASV_4"
"bac_ASV_40","bac","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Herpetosiphon","Unassigned","bac","bac_ASV_40"
"bac_ASV_41","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_41"
"bac_ASV_42","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Unassigned","bac","bac_ASV_42"
"bac_ASV_43","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Unassigned","bac","bac_ASV_43"
"bac_ASV_44","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia","Kinneretia_asaccharophila","bac","bac_ASV_44"
"bac_ASV_45","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Lentzea_kentuckyensis","bac","bac_ASV_45"
"bac_ASV_46","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Unassigned","Unassigned","bac","bac_ASV_46"
"bac_ASV_47","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac","bac_ASV_47"
"bac_ASV_48","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Unassigned","bac","bac_ASV_48"
"bac_ASV_49","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Lentzea","Lentzea_albida","bac","bac_ASV_49"
"bac_ASV_50","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac","bac_ASV_50"
"bac_ASV_51","bac","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unassigned","bac","bac_ASV_51"
"bac_ASV_52","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Unassigned","Unassigned","bac","bac_ASV_52"
"bac_ASV_53","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces","Unassigned","bac","bac_ASV_53"
"bac_ASV_54","bac","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_54"
"bac_ASV_55","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Piscinibacter","Piscinibacter_aquaticus","bac","bac_ASV_55"
"bac_ASV_56","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Unassigned","bac","bac_ASV_56"
"bac_ASV_57","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_57"
"bac_ASV_59","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_59"
"bac_ASV_6","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_6"
"bac_ASV_60","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_60"
"bac_ASV_61","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense","bac","bac_ASV_61"
"bac_ASV_62","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer_americanus","bac","bac_ASV_62"
"bac_ASV_63","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_composti","bac","bac_ASV_63"
"bac_ASV_64","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_64"
"bac_ASV_65","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Unassigned","Unassigned","bac","bac_ASV_65"
"bac_ASV_66","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","Dongia_mobilis","bac","bac_ASV_66"
"bac_ASV_67","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_chlororaphis_subsp._piscium","bac","bac_ASV_67"
