"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT"
"Intrasporangiaceae",0.417750709611527,"nosig",0.141608379874997,0.175982485753659,"nosig",0.530222282972449,-0.241768223857868,"nosig",0.3945226062854,0.000738890341009678,0.000696017266708114,0.00072462308050961
"Kineosporiaceae",-0.253065256238127,"nosig",0.427513390197035,-0.879433907658751,"depleted",0.00601079822201726,-0.626368651420624,"nosig",0.0490691683512136,0.00450088974938741,0.00640575933053501,0.00852839818906467
"Labilitrichaceae",0.126089941634921,"nosig",0.649403930234693,-0.108350662923246,"nosig",0.693228144735977,-0.234440604558167,"nosig",0.391722660491455,0.000848307784490277,0.000978539835966693,0.00100999271499203
"Lachnospiraceae",1.66971593301031,"nosig",0.168593641775646,0.256945175075747,"nosig",0.825695247517861,-1.41277075793457,"nosig",0.242468134482438,0.000226306003438295,6.59762879039346e-05,0.000166008572842703
"Leptospiraceae",-0.174382478670863,"nosig",0.659443564093346,-0.523550937390194,"nosig",0.183875586089337,-0.349168458719331,"nosig",0.370182500442663,0.000782634011664537,0.00120756756952979,0.00139054183867307
"Methylobacteriaceae",-0.244021510707752,"nosig",0.403583942497933,0.364186939440023,"nosig",0.222419245969824,0.608208450147775,"nosig",0.0389731272124524,0.00103666600458321,0.00153084127169362,0.000867451924669084
"Methylophilaceae",0.720012182617634,"nosig",0.0420622875860977,-0.0132721247649318,"nosig",0.96976736106645,-0.733284307382566,"nosig",0.0380421857489495,0.00295296010845114,0.00233222598809071,0.0034300259716075
"Microbacteriaceae",0.170104636574805,"nosig",0.384157771437181,0.132924291726753,"nosig",0.496308344916238,-0.0371803448480514,"nosig",0.849007811159311,0.00822439169997529,0.00918951972108594,0.00831055403525708
"Micrococcaceae",-0.716768323758375,"nosig",0.0158291543206976,-0.425212844398292,"nosig",0.15405244465741,0.291555479360083,"nosig",0.31703408851654,0.00108414065312673,0.00220912480779033,0.00159506110488038
"Micromonosporaceae",0.0221583545956028,"nosig",0.917860912432826,-0.0407168473590456,"nosig",0.849689052794693,-0.0628752019546484,"nosig",0.769743461614407,0.0444708605751009,0.053373499027248,0.0492261756834026
"Mycobacteriaceae",0.376184816939184,"nosig",0.225922539606165,0.311390389925569,"nosig",0.315666434436372,-0.0647944270136158,"nosig",0.83482175972011,0.00314778965332901,0.00301532717736172,0.0027865241109997
"Myxococcaceae",0.263587978869032,"nosig",0.535539778205318,0.940479952372544,"nosig",0.0334854390267958,0.676891973503512,"nosig",0.127202068810046,0.000408196470758209,0.000407289280258643,0.000224446414322048
"Nannocystaceae",-0.257654800761874,"nosig",0.385373312883796,-0.564235788127336,"nosig",0.0542404962298031,-0.306580987365462,"nosig",0.282182558740818,0.000545417763422002,0.000819187559839358,0.000875369206939396
"Nitrosomonadaceae",-0.262142162690074,"nosig",0.676624416560904,0.0389130540759378,"nosig",0.95176269636087,0.301055216766012,"nosig",0.626420673619977,6.06808088161159e-05,9.21956700925759e-05,6.26174693116448e-05
"Nitrososphaeraceae",-1.48886370632428,"nosig",0.0530281619392737,-1.4298824892851,"nosig",0.0660525831615297,0.058981217039184,"nosig",0.924742351967696,1.88522464872707e-05,7.14976601085296e-05,5.83620507606461e-05
"Nitrospiraceae",-0.422440786930316,"nosig",0.242838285661167,-0.799597467486261,"nosig",0.0259853468088729,-0.377156680555944,"nosig",0.282307027378176,0.00059488894847954,0.000988211165033553,0.00114343088960516
"Nocardiaceae",0.689304568187658,"nosig",0.199514689833239,0.145511434680562,"nosig",0.784365273062684,-0.543793133507096,"nosig",0.310327288287568,0.000921469597961735,0.000737195399435305,0.000947061762053221
"Nocardioidaceae",0.489797169938836,"nosig",0.0226006280781198,0.341578191548233,"nosig",0.111264929234624,-0.148218978390603,"nosig",0.489436075966324,0.0313233507787237,0.0285491094269651,0.0277104042028917
"Oligoflexaceae",-2.43368589139554,"depleted",0.000738705922902819,-1.63712183784283,"nosig",0.0350145487970409,0.796564053552715,"nosig",0.173143755697461,1.92551594567146e-05,0.000141804834549135,6.67471280375451e-05
"Opitutaceae",-1.85994826951232,"depleted",1.79607998550296e-06,-1.75395299045279,"depleted",6.92641202754457e-06,0.105995279059526,"nosig",0.763424913378159,0.000249153165125234,0.00121457453276216,0.000981347927641984
"Oscillochloridaceae",0.489319869331947,"nosig",0.127098932914054,-0.0635773447430871,"nosig",0.839434386646167,-0.552897214075034,"nosig",0.0824162314192347,0.000871838872421296,0.000742668567551978,0.000975388769326704
