"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus","species"
"ASV_484",-1.34197113988791,"nosig",0.253446289316716,-3.60435988410649,"nosig",0.00388938975296441,-2.26238874421858,"nosig",0.0523687270547231,4.80997523942756e-05,0.000136923049984896,0.000609006792760179,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_666",-1.70708753734612,"nosig",0.00585086133581757,-1.96352494642545,"depleted",0.00142669568437566,-0.25643740907933,"nosig",0.637627641020058,6.71290649142368e-05,0.000256074906918707,0.000264311775234276,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_414",-0.924238265011922,"nosig",0.267932125578308,-0.145392153473159,"nosig",0.861631365759832,0.778846111538764,"nosig",0.348012666213341,0.000259448071198086,0.000555899386290673,0.000296277560027759,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1757",-0.472219972357299,"nosig",0.584829658831957,0.91674652375197,"nosig",0.33128885927497,1.38896649610927,"nosig",0.131246871779735,4.68279146089286e-05,7.49515308203796e-05,2.25144856779347e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_314",-0.656402179013356,"nosig",0.162461913376529,-0.342169797748841,"nosig",0.46989967742785,0.314232381264515,"nosig",0.497056124264774,0.000353681782157705,0.000669264951658489,0.000466324848634293,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_397",-0.88585828553787,"nosig",0.0273849016061078,-0.203520070853435,"nosig",0.62586962396908,0.682338214684435,"nosig",0.0827877150180219,0.000224326730130502,0.000503826349169665,0.000273334631682677,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1574",-1.17675781971324,"nosig",0.0501964602911788,-0.824610792752843,"nosig",0.179104208162973,0.352147026960398,"nosig",0.532388634011357,8.17022347744006e-05,0.000239588212987241,0.000151663099045369,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Streptomyces_chrysomallus_subsp._chrysomallus"
"ASV_808",0.853438171618926,"nosig",0.33463124490192,0.777130597181706,"nosig",0.378261852841532,-0.0763075744372192,"nosig",0.931228571903592,0.000190155419944064,0.000129867988073243,0.000125774190406993,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1700",-0.164133432582521,"nosig",0.79426889108408,-0.379509860996378,"nosig",0.539611728220542,-0.215376428413857,"nosig",0.718855449126028,6.03946704031796e-05,8.03770686339865e-05,8.08233738761064e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
"ASV_1292",-3.50708354893436,"depleted",0.00398427660999608,-2.64866610839824,"nosig",0.0287066211783193,0.858417440536116,"nosig",0.407947307219484,8.74752882310747e-06,0.000161792594107972,7.59817457909921e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned"
