"","ID","i","index","Group"
"sample1121","sample11",51100,5778,"Group2"
"sample1218","sample12",51100,7170,"Group2"
"sample1317","sample13",51100,7992,"Group3"
"sample1417","sample14",51100,8384,"Group3"
"sample1517","sample15",51100,7898,"Group3"
"sample1617","sample16",51100,8149,"Group3"
"sample1717","sample17",51100,8283,"Group3"
"sample1817","sample18",51100,8195,"Group3"
"sample217","sample2",51100,4973,"Group1"
"sample317","sample3",51100,5496,"Group1"
"sample417","sample4",51100,7230,"Group1"
"sample517","sample5",51100,8062,"Group1"
"sample617","sample6",51100,5398,"Group1"
"sample717","sample7",51100,4196,"Group2"
"sample817","sample8",51100,6570,"Group2"
"sample917","sample9",51100,4602,"Group2"
"sample193","sample1",54100,6692,"Group1"
"sample1018","sample10",54100,6144,"Group2"
"sample1122","sample11",54100,5847,"Group2"
"sample1219","sample12",54100,7326,"Group2"
"sample1318","sample13",54100,8166,"Group3"
"sample1418","sample14",54100,8561,"Group3"
"sample1518","sample15",54100,8065,"Group3"
"sample1618","sample16",54100,8232,"Group3"
"sample1718","sample17",54100,8518,"Group3"
"sample1818","sample18",54100,8361,"Group3"
"sample218","sample2",54100,4974,"Group1"
"sample318","sample3",54100,5544,"Group1"
"sample418","sample4",54100,7374,"Group1"
"sample518","sample5",54100,8166,"Group1"
"sample618","sample6",54100,5412,"Group1"
"sample718","sample7",54100,4254,"Group2"
"sample818","sample8",54100,6707,"Group2"
"sample918","sample9",54100,4649,"Group2"
"sample194","sample1",57100,6752,"Group1"
"sample1019","sample10",57100,6216,"Group2"
"sample1123","sample11",57100,5973,"Group2"
"sample1220","sample12",57100,7501,"Group2"
"sample1319","sample13",57100,8317,"Group3"
"sample1419","sample14",57100,8713,"Group3"
"sample1519","sample15",57100,8291,"Group3"
"sample1619","sample16",57100,8416,"Group3"
"sample1719","sample17",57100,8655,"Group3"
"sample1819","sample18",57100,8539,"Group3"
"sample219","sample2",57100,5041,"Group1"
"sample319","sample3",57100,5592,"Group1"
"sample419","sample4",57100,7536,"Group1"
"sample519","sample5",57100,8408,"Group1"
"sample619","sample6",57100,5469,"Group1"
"sample719","sample7",57100,4276,"Group2"
"sample819","sample8",57100,6833,"Group2"
"sample919","sample9",57100,4717,"Group2"
"sample195","sample1",60100,6899,"Group1"
"sample1020","sample10",60100,6280,"Group2"
"sample1124","sample11",60100,6040,"Group2"
"sample1221","sample12",60100,7530,"Group2"
"sample1320","sample13",60100,8499,"Group3"
"sample1420","sample14",60100,8897,"Group3"
"sample1520","sample15",60100,8317,"Group3"
"sample1620","sample16",60100,8525,"Group3"
"sample1720","sample17",60100,8805,"Group3"
"sample1820","sample18",60100,8784,"Group3"
"sample220","sample2",60100,5117,"Group1"
"sample320","sample3",60100,5676,"Group1"
"sample420","sample4",60100,7635,"Group1"
"sample520","sample5",60100,8442,"Group1"
"sample620","sample6",60100,5514,"Group1"
"sample720","sample7",60100,4282,"Group2"
"sample820","sample8",60100,6890,"Group2"
"sample920","sample9",60100,4762,"Group2"
"sample196","sample1",63100,6959,"Group1"
"sample1021","sample10",63100,6405,"Group2"
"sample1125","sample11",63100,6108,"Group2"
"sample1222","sample12",63100,7724,"Group2"
"sample1321","sample13",63100,8627,"Group3"
"sample1421","sample14",63100,9077,"Group3"
"sample1521","sample15",63100,8518,"Group3"
"sample1621","sample16",63100,8719,"Group3"
"sample1721","sample17",63100,8975,"Group3"
"sample1821","sample18",63100,8800,"Group3"
"sample221","sample2",63100,5128,"Group1"
"sample321","sample3",63100,5691,"Group1"
"sample421","sample4",63100,7643,"Group1"
"sample521","sample5",63100,8722,"Group1"
"sample621","sample6",63100,5570,"Group1"
"sample721","sample7",63100,4320,"Group2"
"sample821","sample8",63100,6989,"Group2"
"sample921","sample9",63100,4782,"Group2"
"sample197","sample1",66100,7069,"Group1"
"sample1022","sample10",66100,6482,"Group2"
"sample1126","sample11",66100,6190,"Group2"
"sample1223","sample12",66100,7789,"Group2"
"sample1322","sample13",66100,8750,"Group3"
"sample1422","sample14",66100,9226,"Group3"
"sample1522","sample15",66100,8671,"Group3"
"sample1622","sample16",66100,8879,"Group3"
"sample1722","sample17",66100,9077,"Group3"
"sample1822","sample18",66100,8984,"Group3"
"sample222","sample2",66100,5186,"Group1"
"sample322","sample3",66100,5695,"Group1"
"sample422","sample4",66100,7780,"Group1"
"sample522","sample5",66100,8758,"Group1"
"sample622","sample6",66100,5579,"Group1"
"sample722","sample7",66100,4357,"Group2"
"sample822","sample8",66100,7019,"Group2"
"sample922","sample9",66100,4877,"Group2"
"sample198","sample1",69100,7115,"Group1"
"sample1023","sample10",69100,6527,"Group2"
"sample1127","sample11",69100,6219,"Group2"
"sample1224","sample12",69100,7910,"Group2"
"sample1323","sample13",69100,8815,"Group3"
"sample1423","sample14",69100,9279,"Group3"
"sample1523","sample15",69100,8735,"Group3"
"sample1623","sample16",69100,9017,"Group3"
"sample1723","sample17",69100,9234,"Group3"
"sample1823","sample18",69100,9128,"Group3"
"sample223","sample2",69100,5205,"Group1"
"sample323","sample3",69100,5775,"Group1"
"sample423","sample4",69100,7926,"Group1"
"sample523","sample5",69100,8918,"Group1"
"sample623","sample6",69100,5625,"Group1"
"sample723","sample7",69100,4379,"Group2"
"sample823","sample8",69100,7116,"Group2"
"sample923","sample9",69100,4899,"Group2"
"sample199","sample1",72100,7239,"Group1"
"sample1024","sample10",72100,6572,"Group2"
"sample1128","sample11",72100,6342,"Group2"
"sample1225","sample12",72100,8003,"Group2"
"sample1324","sample13",72100,9010,"Group3"
"sample1424","sample14",72100,9467,"Group3"
"sample1524","sample15",72100,8841,"Group3"
"sample1624","sample16",72100,9161,"Group3"
"sample1724","sample17",72100,9330,"Group3"
"sample1824","sample18",72100,9254,"Group3"
"sample224","sample2",72100,5215,"Group1"
"sample324","sample3",72100,5804,"Group1"
"sample424","sample4",72100,8019,"Group1"
"sample524","sample5",72100,9004,"Group1"
"sample624","sample6",72100,5682,"Group1"
"sample724","sample7",72100,4415,"Group2"
"sample824","sample8",72100,7204,"Group2"
"sample924","sample9",72100,4964,"Group2"
"sample1100","sample1",75100,7246,"Group1"
"sample1025","sample10",75100,6636,"Group2"
"sample1129","sample11",75100,6369,"Group2"
"sample1226","sample12",75100,8052,"Group2"
"sample1325","sample13",75100,9055,"Group3"
"sample1425","sample14",75100,9555,"Group3"
"sample1525","sample15",75100,9032,"Group3"
"sample1625","sample16",75100,9255,"Group3"
"sample1725","sample17",75100,9482,"Group3"
"sample1825","sample18",75100,9309,"Group3"
"sample225","sample2",75100,5260,"Group1"
"sample325","sample3",75100,5861,"Group1"
"sample425","sample4",75100,8056,"Group1"
"sample525","sample5",75100,9132,"Group1"
"sample625","sample6",75100,5725,"Group1"
"sample725","sample7",75100,4428,"Group2"
"sample825","sample8",75100,7286,"Group2"
"sample925","sample9",75100,5057,"Group2"
"sample1101","sample1",78100,7298,"Group1"
"sample1026","sample10",78100,6665,"Group2"
"sample1130","sample11",78100,6454,"Group2"
"sample1227","sample12",78100,8198,"Group2"
"sample1326","sample13",78100,9169,"Group3"
"sample1426","sample14",78100,9735,"Group3"
"sample1526","sample15",78100,9113,"Group3"
"sample1626","sample16",78100,9340,"Group3"
"sample1726","sample17",78100,9592,"Group3"
"sample1826","sample18",78100,9399,"Group3"
"sample226","sample2",78100,5276,"Group1"
"sample326","sample3",78100,5871,"Group1"
"sample426","sample4",78100,8139,"Group1"
"sample526","sample5",78100,9218,"Group1"
"sample626","sample6",78100,5744,"Group1"
"sample726","sample7",78100,4455,"Group2"
"sample826","sample8",78100,7369,"Group2"
"sample926","sample9",78100,5035,"Group2"
"sample1102","sample1",81100,7372,"Group1"
"sample1027","sample10",81100,6717,"Group2"
"sample1131","sample11",81100,6442,"Group2"
"sample1228","sample12",81100,8279,"Group2"
"sample1327","sample13",81100,9306,"Group3"
"sample1427","sample14",81100,9779,"Group3"
"sample1527","sample15",81100,9211,"Group3"
"sample1627","sample16",81100,9503,"Group3"
"sample1727","sample17",81100,9703,"Group3"
"sample1827","sample18",81100,9584,"Group3"
"sample227","sample2",81100,5306,"Group1"
"sample327","sample3",81100,5875,"Group1"
"sample427","sample4",81100,8159,"Group1"
"sample527","sample5",81100,9342,"Group1"
"sample627","sample6",81100,5808,"Group1"
"sample727","sample7",81100,4464,"Group2"
"sample827","sample8",81100,7410,"Group2"
"sample927","sample9",81100,5055,"Group2"
"sample1103","sample1",84100,7474,"Group1"
"sample1028","sample10",84100,6798,"Group2"
"sample1132","sample11",84100,6473,"Group2"
"sample1229","sample12",84100,8255,"Group2"
"sample1328","sample13",84100,9429,"Group3"
"sample1428","sample14",84100,9926,"Group3"
"sample1528","sample15",84100,9301,"Group3"
"sample1628","sample16",84100,9572,"Group3"
"sample1728","sample17",84100,9857,"Group3"
"sample1828","sample18",84100,9758,"Group3"
"sample228","sample2",84100,5326,"Group1"
"sample328","sample3",84100,5939,"Group1"
"sample428","sample4",84100,8274,"Group1"
"sample528","sample5",84100,9400,"Group1"
"sample628","sample6",84100,5766,"Group1"
"sample728","sample7",84100,4516,"Group2"
"sample828","sample8",84100,7461,"Group2"
"sample928","sample9",84100,5090,"Group2"
"sample1104","sample1",87100,7574,"Group1"
"sample1029","sample10",87100,6868,"Group2"
"sample1133","sample11",87100,6578,"Group2"
"sample1230","sample12",87100,8367,"Group2"
"sample1329","sample13",87100,9434,"Group3"
"sample1429","sample14",87100,9939,"Group3"
"sample1529","sample15",87100,9492,"Group3"
"sample1629","sample16",87100,9729,"Group3"
"sample1729","sample17",87100,10002,"Group3"
"sample1829","sample18",87100,9775,"Group3"
"sample229","sample2",87100,5338,"Group1"
"sample329","sample3",87100,5937,"Group1"
"sample429","sample4",87100,8351,"Group1"
"sample529","sample5",87100,9481,"Group1"
"sample629","sample6",87100,5822,"Group1"
"sample729","sample7",87100,4531,"Group2"
"sample829","sample8",87100,7519,"Group2"
"sample929","sample9",87100,5111,"Group2"
"sample1105","sample1",90100,7605,"Group1"
"sample1030","sample10",90100,6878,"Group2"
"sample1134","sample11",90100,6611,"Group2"
"sample1231","sample12",90100,8430,"Group2"
"sample1330","sample13",90100,9602,"Group3"
"sample1430","sample14",90100,10135,"Group3"
"sample1530","sample15",90100,9533,"Group3"
"sample1630","sample16",90100,9795,"Group3"
"sample1730","sample17",90100,10044,"Group3"
"sample1830","sample18",90100,9851,"Group3"
"sample230","sample2",90100,5376,"Group1"
"sample330","sample3",90100,5965,"Group1"
"sample430","sample4",90100,8401,"Group1"
"sample530","sample5",90100,9623,"Group1"
"sample630","sample6",90100,5843,"Group1"
"sample730","sample7",90100,4503,"Group2"
"sample830","sample8",90100,7594,"Group2"
"sample930","sample9",90100,5157,"Group2"
"sample1106","sample1",93100,7593,"Group1"
"sample1031","sample10",93100,6947,"Group2"
"sample1135","sample11",93100,6627,"Group2"
"sample1232","sample12",93100,8455,"Group2"
"sample1331","sample13",93100,9692,"Group3"
"sample1431","sample14",93100,10241,"Group3"
"sample1531","sample15",93100,9560,"Group3"
"sample1631","sample16",93100,9846,"Group3"
"sample1731","sample17",93100,10173,"Group3"
"sample1831","sample18",93100,9972,"Group3"
"sample231","sample2",93100,5419,"Group1"
"sample331","sample3",93100,6014,"Group1"
"sample431","sample4",93100,8467,"Group1"
"sample531","sample5",93100,9659,"Group1"
"sample631","sample6",93100,5887,"Group1"
"sample731","sample7",93100,4534,"Group2"
"sample831","sample8",93100,7641,"Group2"
"sample931","sample9",93100,5183,"Group2"
"sample1107","sample1",96100,7739,"Group1"
"sample1032","sample10",96100,6961,"Group2"
"sample1136","sample11",96100,6720,"Group2"
"sample1233","sample12",96100,8551,"Group2"
"sample1332","sample13",96100,9688,"Group3"
"sample1432","sample14",96100,10313,"Group3"
"sample1532","sample15",96100,9699,"Group3"
"sample1632","sample16",96100,10015,"Group3"
"sample1732","sample17",96100,10194,"Group3"
"sample1832","sample18",96100,10021,"Group3"
"sample232","sample2",96100,5427,"Group1"
"sample332","sample3",96100,6007,"Group1"
