"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Paraphaeosphaeria",12.2629006905653,0.286416126088206,"Paraphaeosphaeria","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","fun",1,0.0188305252725471,0,1
"Pedobacter",5.58725221124607,-6.09990586111817,"Pedobacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","bac",3,0.0932896890343699,76.6968003011481,3
"Penicillium",2.99858384240688,-7.43462362165004,"Penicillium","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","fun",5,0.0914927768860353,118.758902691511,5
"Phenylobacterium",13.6580088596819,-9.66250503592756,"Phenylobacterium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","bac",0,0,0,0
"Polyschema",15.7072621353348,-8.09173123529313,"Polyschema","fun","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema","fun",0,0,0,0
"Povalibacter",-9.71958877058329,5.53513029977724,"Povalibacter","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","bac",1,0.0815450643776824,0,1
"Pseudaleuria",6.54053487787188,-16.1247649745375,"Pseudaleuria","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pseudaleuria","fun",0,0,0,0
"Pseudoduganella",-1.33548681363105,10.2578702282753,"Pseudoduganella","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","bac",1,0.0761014686248331,0,1
"Pseudogulbenkiania",-2.95177811086214,15.5971025941221,"Pseudogulbenkiania","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Pseudogulbenkiania","bac",4,0.0951585976627713,249.175741649655,4
"Pseudogymnoascus",-10.3480493516963,-10.0611279888498,"Pseudogymnoascus","fun","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","fun",0,0,0,0
"Pseudolabrys",-11.3383810595278,-12.6387591652717,"Pseudolabrys","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","bac",0,0,0,0
"Pseudomonas",2.95306154177509,2.22614480967474,"Pseudomonas","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","bac",1,0.0844444444444444,0,1
"Pyrus",4.51300609566538,10.8319970247813,"Pyrus","fun","Viridiplantae","Anthophyta","Eudicotyledonae","Rosales","Rosaceae","Pyrus","fun",1,0.0880989180834621,0,1
"Ralstonia",4.75650133204988,-2.62598167555119,"Ralstonia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","bac",1,0.0810810810810811,0,1
